"32 Minister of Urban Development,","12301","Advances to Public Officers             40,000,000             21,000,000          130,000,000","-"
"Construction and Housing","","",""
"33 Minister of Rural Development,","12401","Advances to Public Officers             20,000,000               6,000,000          200,000,000","-"
"Social Security and Community","","",""
"Empowerment","","",""
"34 Minister of Education, Higher","12601","Advances to Public Officers        3,350,000,000        1,300,000,000       8,000,000,000","-"
"Education and Vocational","","",""
"Education","","",""
"35 Minister of Public Administration,","13001","Advances to Public Officers           208,200,000             63,000,000       2,500,000,000","-"
"Provincial Councils and Local","","",""
"Government","","",""
"36 Minister of Plantation and","13501","Advances to Public Officers             35,000,000             12,000,000          100,000,000","-"
"Community Infrastructure","","",""
"37 Minister of Industry and","14901","Advances to Public Officers           200,000,000             32,000,000          500,000,000","-"
"Entrepreneurship Development","","",""
"38 Minister of Fisheries, Aquatic and","15101","Advances to Public Officers             10,000,000               8,000,000            40,000,000","-"
"Ocean Resources","","",""
"39 Minister of Environment","16001","Advances to Public Officers             40,000,000             11,000,000          150,000,000","-"
"40 Minister of Women and Child","17101","Advances to Public Officers           100,000,000             47,000,000          250,000,000","-"
"Affairs","","",""
"41 Minister of Digital Economy","18601","Advances to Public Officers               4,000,000                  500,000              3,500,000","-"
