"157 Department of Motor Traffic","30701","Advances to Public Officers             26,000,000             40,000,000          140,000,000","-",""
"158 Department of Posts","30801","Advances to Public Officers           900,000,000           710,000,000       2,400,000,000","-",""
"159 Department of Buildings","30901","Advances to Public Officers             25,000,000             20,000,000            95,000,000","-",""
"160 Department of Government","31001","Advances to Public Officers             25,000,000             13,500,000          125,000,000","-",""
"Factories","","","",""
"161 Department of Government","31002","Government Factory Stores 
          180,000,000           120,000,000          150,000,000","50,000,000",""
"Factories","","Advance Account","",""
"162 Department of Government","31003","Government Factory Work 
          400,000,000           450,000,000          190,000,000","-",""
"Factories","","Done Advance Account","",""
"163 Department of National Physical","31101","Advances to Public Officers             15,000,000               9,200,000            50,000,000","-",""
"Planning","","","",""
"164 Department of Civil Security","32001","Advances to Public Officers           450,000,000           350,000,000          900,000,000","-","Appropriation Act, No. 3 of 2025"
"165 Department of National Botanical","32201","Advances to Public Officers             30,000,000             27,000,000          110,000,000","-",""
"Gardens","","","",""
"166 Department of Legal Affairs","32301","Advances to Public Officers               1,000,000                  675,000              4,000,000","-",""
"167 Department of Management","32401","Advances to Public Officers               3,000,000               2,500,000            10,000,000","-",""
"Auditing","","","",""
"168 Department of Community Based","32601","Advances to Public Officers             60,000,000             14,000,000          150,000,000","-",""
"Corrections","","","",""
"169 Department of Land Use Policy","32701","Advances to Public Officers             20,000,000             17,000,000            75,000,000","-",""
"Planning","","","","53"
"170 Department of Manpower and","32801","Advances to Public Officers             30,000,000             22,000,000          100,000,000","-",""
"Employment","","","",""
"171 Department of Information","32901","Advances to Public Officers               4,000,000               2,500,000            12,000,000","-",""
"Technology Management","","","",""
