"","Ministry of Plantation and Community Infrastructure","","",""
"Recurrent","5,450,000,000","","",""
"Capital","12,038,000,000","","",""
"Made up as follows :-","","","",""
"Head  135 Minister of Plantation and Community Infrastructure","","","",""
"Programme 01","Operational Activities","1,702,000,000","69,000,000",""
"Programme 02","Development Activities","3,183,000,000","11,019,000,000",""
"Head  293 Department of Rubber Development","","","",""
"Programme 02","Development Activities","423,000,000","545,000,000",""
"Head  337 Department of Cinnamon  Development","","","",""
"Programme 02","Development Activities","142,000,000","405,000,000","Appropriation Act, No. 3 of 2025"
"","Ministry of Industry and Entrepreneurship Development","","",""
"Recurrent","4,805,000,000","","",""
"Capital","9,138,000,000","","",""
"Made up as follows :-","","","",""
"Head  149 Minister of  Industry and Entrepreneurship Development","","","",""
"Programme 01","Operational Activities","1,392,700,000","143,800,000",""
"Programme 02","Development Activities","3,069,000,000","8,926,500,000","31"
