"Head  308 Department of Posts","","","",""
"Programme 02","Development Activities","21,823,000,000","2,095,000,000",""
"","Ministry of Foreign Affairs,  Foreign Employment and Tourism","","",""
"","Recurrent                           19,407,000,000","","",""
"","Capital                                  2,056,000,000","","",""
"Made up as follows :-","","","",""
"Head  112 Minister of  Foreign Affairs,  Foreign Employment and Tourism","","","",""
"Programme 01","Operational Activities","1,190,000,000","61,000,000",""
"Programme 02","Development Activities","18,217,000,000","1,995,000,000",""
"","Ministry of Trade, Commerce, Food Security and Co-operative Development","","","Appropriation Act, No. 3 of 2025"
"","Recurrent                             2,167,000,000","","",""
"","Capital                                     497,000,000","","",""
"Made up as follows :-","","","",""
"Head  116 Minister of Trade, Commerce, Food Security and Co-operative Development","","","",""
"Programme 01","Operational Activities","471,000,000","33,000,000",""
"Programme 02","Development Activities","747,000,000","102,000,000",""
"Head  295 Department of Commerce","","","","19"
"Programme 01","Operational Activities","301,000,000","30,000,000",""
