"108 District Secretariat , Matale","25901","Advances to Public Officers             85,000,000             75,000,000          330,000,000","-"
"109 District Secretariat, Nuwara-Eliya","26001","Advances to Public Officers             65,000,000             55,000,000          245,000,000","-"
"110 District Secretariat, Galle","26101","Advances to Public Officers           145,000,000           125,000,000          500,000,000","-"
"111 District Secretariat, Matara","26201","Advances to Public Officers           130,000,000           115,000,000          260,000,000","-"
"112 District Secretariat, Hambantota","26301","Advances to Public Officers             85,000,000             76,000,000          250,000,000","-"
"113 District Secretariat/ Kachcheri-","26401","Advances to Public Officers           100,000,000             85,000,000          280,000,000","-"
"Jaffna","","",""
"114 District Secretariat/ Kachcheri-","26501","Advances to Public Officers             30,000,000             20,000,000            80,000,000","-"
"Mannar","","",""
"115 District Secretariat/ Kachcheri-","26601","Advances to Public Officers             40,000,000             22,000,000          100,000,000","-"
"Vavuniya","","",""
"116 District Secretariat/ Kachcheri-","26701","Advances to Public Officers             48,000,000             20,000,000          120,000,000","-"
"Mullaitivu","","",""
"117 District Secretariat/ Kachcheri-","26801","Advances to Public Officers             44,000,000             20,000,000          100,000,000","-"
"Killinochchi","","",""
"118 District Secretariat/ Kachcheri-","26901","Advances to Public Officers             75,000,000             65,000,000          250,000,000","-"
"Batticaloa","","",""
"119 District Secretariat, Ampara","27001","Advances to Public Officers           160,000,000             80,000,000          350,000,000","-"
"120 District Secretariat/ Kachcheri-","27101","Advances to Public Officers             70,000,000             35,000,000          190,000,000","-"
"Trincomalee","","",""
