"இல.","","","","","","க(cid:8117)டைள","அைம(cid:8120)தி(cid:8094)(cid:8122)"
"","","","","","","ப(cid:8126)றிய","ப
ி
(cid:8121)
 விபர(cid:8113)"
"","","","","","வ
ி","பர(cid:8113)க(cid:8128)","க(cid:8128)"
"1:517","0.0006","அர(cid:8070)","(cid:8089)(cid:8104)வ(cid:8080)(cid:8123)","1ஆவ(cid:8080) வ(cid:8065)(cid:8122)(cid:8087)","","_","திற(cid:8120)த தாி(cid:8070)"
"","","","","","","","நில(cid:8123)"
"1:518","0.0013","அர(cid:8070)","","(cid:8089)(cid:8104)வ(cid:8080)(cid:8123)   1ஆவ(cid:8080) வ(cid:8065)(cid:8122)(cid:8087)","","_","_"
"1:519","0.0045","அர(cid:8070)","","(cid:8089)(cid:8104)வ(cid:8080)(cid:8123)   1ஆவ(cid:8080) வ(cid:8065)(cid:8122)(cid:8087)","","_","_"
"1:520","0.0046","அர(cid:8070)","(cid:8089)(cid:8104)வ(cid:8080)(cid:8123)","1ஆவ(cid:8080) வ(cid:8065)(cid:8122)(cid:8087)","","_","_"
"1:521","0.0061","அர(cid:8070)","(cid:8089)(cid:8104)வ(cid:8080)(cid:8123)","1ஆவ(cid:8080) வ(cid:8065)(cid:8122)(cid:8087)","","_","_"
"1:522","0.0057","அர(cid:8070)","(cid:8089)(cid:8104)வ(cid:8080)(cid:8123)","1ஆவ(cid:8080) வ(cid:8065)(cid:8122)(cid:8087)","","_","_"
"1:524","0.0039","அர(cid:8070)","","(cid:8089)(cid:8104)வ(cid:8080)(cid:8123)  1ஆவ(cid:8080) வ(cid:8065)(cid:8122)(cid:8087)","","_","_"
