"வி
ி
ண்�ப்ப","நபர்/நிறுவினம்","விளிாகங்கள்","","விலிதுகைடய காலம்"
"இலக்கம்","","","",""
"","","","ஆரம்பம்","முடிவு"
"EL/EX/D/25-21","கூட்டு ஆதின முகாகைமித்துவி","இல 410/128, பிகைரம் பரசாிபடன்சாிஸ்,","2025.08.25","2035.08.24"
"","திிட்ட இலக்கம் 4599","பபௌத்தியலாக மிாவித்கைதி 1,","",""
"","","பபௌத்தியலாக மிாவித்கைதி,","",""
"","","பகாழும்பு 7","",""
"EL/EX/D/25-22","ஓாியண்ட் பரசாிபடன்சாீஸ்","இ ல . 1 2 / 9 ,   ஜ ம் பு க ஸ் மு ல் ல   வீ திி ,","2025.08.25","2035.08.24"
"","யமிலாண்கைமி குழு","நுயகபகாட","",""
"EL/EX/D/25-24","பவில்கம்ய�ாட்டல்ஸ்","சாப ய ர்   கு டிய ி ரு ப் பு க ள் ,   இ ல க் க ம்","2025.08.25","2030.08.24"
"","லங்கா (பிகைரயவிட்)","21,  காலி  முகத்திிடல்  நிகைல ய  வீதிி,","",""
"","லிமிிபடட்","பகாழும்பு 01","",""
"EL/EX/D/25-25","பவில்கம்ய�ாட்டல்ஸ்","ஐடிசாி  ரத்னாதிிப,  இலக்கம்  21,  காலி","2025.08.25","2035.08.24"
"","லங்கா (பிகைரயவிட்)","முகத்திிடல் நிகைலய வீதிி, பகாழும்பு 01","",""
"","லிமிிபடட்","","",""
