"","Column I","Column II","","Column III"
"","Duties and Functions","Departments,  Statutory  Institutions","","Laws and Ordinance to be"
"","","&  Public  Corporations","","Implemented"
"5.","Establishment of rules of","","","All other legislations pertaining to"
"","competition for shipping services","","","the subjects specified in Columns"
"","","","","I and II that have not been"
"6.","Assist in establishing","","",""
"","","","","specifically brought under the"
"","consultative  coordination","","",""
"","","","","purview of any other Minister"
"","between shipping service","","",""
"","providers and users","","",""
"7.","Receiving  wrecks and ocean","","",""
"","salvages","","",""
"8.","Administration of Shipping","","",""
"","Development Fund","","",""
"9.","Freight and Shipping Services","","",""
"10.","Coastwise passenger traffic","","",""
"11.","Ship owing, Operating, Ship","","",""
"","Managing, Ship Brokering and","","",""
"","Agency Services","","",""
"12.","Custom House Agency and total","","",""
"","Logistics Solution","","",""
"13.","Supervising all institutions","","",""
"","referred to in Column II and","","",""
"","matters relating to all subjects","","",""
"","assigned  to  such  institutions","","",""
