"","ව
ැ
ය","වියදම දරණ ඒකකය/","වියදම සඳහපා ්බලය යදන","වියදම වැඩසටහන පුනරපාවර්ත්න වියදම","මූල්ධන","මුළු"
"","ශීර්්ෂ","අමපාත්‍යපාංශය/","ලද ආණ්ඩුක්‍රම ව‍යවසේථපායේ","රු","වියදම 
.","වියදම"
"","අ
ං
කය","යද්පාර්ත්යමන්තුව /","සහ නීතියේ ප්‍රති්පාදනය","","රු
.","රු
."
"","","ආයත්නය","","","",""
"","10","අල්ලසේ යහපාේ දූ්ෂණ","2023 අංක 9 දරන දූ්ෂණ","වැඩසටහන 01 
           16,800,000","-","16,800,000"
"","","යචපාේදනපා විමර්්ෂන","වියරපාේධී ්නත්","යමයහයුම","",""
"","","යකපාමි්ෂන් ස්භපාව","","වැඩසටහන","",""
"","16","්පාර්ලියමන්තුව","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","1,500,000 
  -","1,500,000"
"5","","","65 වන ව‍යවසේථපාව","යමයහයුම","",""
"","","","","වැඩසටහන","",""
"","20","මැතිවරණ යකපාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","6,000,000 
  -","6,000,000"
"","","ස්භපාව","103 වන ව‍යවසේථපාව","යමයහයුම","",""
"","","","","වැඩසටහන","",""
"10","21","ජපාතික විගණන","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","1,700,000 
  -","1,700,000"
"","","කපාර්යපාලය","153 වන ව‍යවසේථපාව","යමයහයුම","",""
"","","","","වැඩසටහන","",""
"","22","්රි්පාලන කටයුතු","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","1,700,000 
  -","1,700,000"
"","","පිළි්බඳ ්පාර්ලියමන්තු","156 වන ව‍යවසේථපාව","යමයහයුම","",""
"15","","යකපාමසපාරිසේ කපාර්යපාලය","","වැඩසටහන","",""
"","23","විගණන යසේවපා යකපාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","5,200,000 
  -","5,200,000"
"","","ස්භපාව","153 (අ) වන ව‍යවසේථපාව","යමයහයුම","",""
"","","","","වැඩසටහන","",""
"","24","ජපාතික ප්‍රසම්පාදන","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","6,000,000 
  -","6,000,000"
"20","","යකපාමි්ෂන් ස්භපාව","156 (ආ) වන ව‍යවසේථපාව","යමයහයුම","",""
"","","","","වැඩසටහන","",""
"","111","යසෞඛ‍ය සහ ජනමපා්ධ‍ය","වවද‍ය ආඥපා්නත්","වැඩසටහන 01","2,000 
  -","2,000"
"","","අමපාත්‍යපාංශය","(105 වන අධිකපාරය)","යමයහයුම","",""
"","","","","වැඩසටහන","",""
