"","","","","රු
.
 
ල
ැ
බීමවල අවම 
රු
.","රු
."
"","","","","සීමපා",""
"","","","","රු
.",""
"","1","අතිගරු ජනපාධි්ති","00101","රජයේ නිල්ධපාරීන්ට අත්තිකපාරම         40,000,000             37,000,000          150,000,000","-"
"","2","අග්පාමපාත්‍ය කපාර්යපාලය","00201","රජයේ නිල්ධපාරීන්ට අත්තිකපාරම         20,000,000             11,000,000            80,000,000","-"
"","3","උ්රිමපාධිකරණවල","00401","රජයේ නිල්ධපාරීන්ට අත්තිකපාරම           1,500,000                  300,000              3,000,000","-"
"","","විනිශේචයකපාරවරු","","",""
"5","4","අමපාත්‍ය මණ්ඩල කපාර්යපාලය","00501","රජයේ නිල්ධපාරීන්ට අත්තිකපාරම           4,000,000               3,500,000            15,000,000","-"
"","5","රපාජ‍ය යසේවපා යකපාමි්ෂන්","00601","රජයේ නිල්ධපාරීන්ට අත්තිකපාරම         12,000,000               9,000,000            50,000,000","-"
"","","ස්භපා කපාර්යපාලය","","",""
"","6","අධිකරණ යසේවපා යකපාමි්ෂන්","00701","රජයේ නිල්ධපාරීන්ට අත්තිකපාරම           3,000,000               2,500,000            15,000,000","-"
"","","ස්භපාව","","",""
"10","7","ජපාතික ය්පාලිසේ යකපාමි්ෂන්","00801","රජයේ නිල්ධපාරීන්ට අත්තිකපාරම           5,000,000               4,500,000            15,000,000","-"
"","","ස්භපාව","","",""
