"","","","","යදවන උපයල්ඛනය","","",""
"","","","ආණ්ඩුක්‍රම ව‍යවසේථාව සහ යවනත් නීති මගින්ත බලය ලැබී ඇති ඒකාබදධ අරමුදලට වැය බරක් විය යුතු රජයේ වියදේ","","","",""
"","ව
ැ
ය","වියදම දරන ඒකකය/","වියදම සඳහපා ්බලය යදන","වියදම වැඩසටහන පුනරපාවර්ත්න වියදම","","මූල්ධන","මුළු"
"","ශීර්්ෂ","අමපාත්‍යපාංශය/","ලද ආණ්ඩුක්‍රම ව‍යවසේථපායේ","","රු
.","වියදම","වියදම"
"","අ
ං
කය","යද්පාර්ත්යමන්තුව /","සහ නීතියේ ප්‍රති්පාදනය","","","රු
.","රු
."
"","","ආයත්නය","","","","",""
"","1","අතිගරු ජනපාධි්ති","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","7,020,000","-","7,020,000"
"","","","36 වන ව‍යවසේථපාව","යමයහයුම","","",""
"","","","","වැඩසටහන","","",""
"","4","උ්රිමපාධිකරණවල","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","95,000,000","-","95,000,000"
"5","","විනිශේචයකපාරවරු","108 වන ව‍යවසේථපාව","යමයහයුම","","",""
"","","","","වැඩසටහන","","",""
"","6","රපාජ‍ය යසේවපා යකපාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","10,260,000","-","10,260,000"
"","","ස්භපා කපාර්යපාලය","වන ්රිචයේදය","යමයහයුම","","",""
"","","","","වැඩසටහන","","",""
"","","","IX","","","",""
"10","7","අධිකරණ යසේවපා","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","2,700,000","-","2,700,000"
"","","යකපාමි්ෂන් ස්භපාව","අ වන ්රිචයේදය","යමයහයුම","","",""
"","","","","වැඩසටහන","","",""
"","","","XV","","","",""
"","8","ජපාතික ය්පාලිසේ යකපාමි්ෂන්","ආණ්ඩුක්‍රම ව‍යවසේථපායේ","වැඩසටහන 01","8,100,000","-","8,100,000"
"","","ස්භපාව","අ වන ්රිචයේදය","යමයහයුම","","",""
"15","","","","වැඩසටහන","","",""
"","","","XVIII","","","",""
