"5","","","fhyj;Jf;F  ,UtifapnyhUtif  kwpaw;wz;",""
"","","","lidf;Fk; Ie;J ,yl;rk; &ghit tpQ;rhj Fw;wg;",""
"","","","gznkhd;Wf;Fk; MshjYk; Ntz;Lk;.",""
"","14.","(m)",",r;rl;lj;jpd; epajpfspd;gb Mf;fg;gl;l rl;l","rl;lKiwahd"
"","","","","fl;lisfSf;Ff;"
"","","","Kiwahd gzpg;Giuia my;yJ fl;lisia",""
"","","","","fPo;g;gbahik"
"10","","","kPWfpd;w  my;yJ  mjw;F  Kuzhfr;  nra",""
"","","","","jtnwhd;whjy;."
"","","","yhw;Wfpd;w@ my;yJ",""
"","","(M)",",r;rl;lj;jpd;  epajpfspd;gb  toq;fg;gl;l",""
"","","","gzpg;Gf;F  ,zq;fpnahOFtjw;F  Ntz;L",""
"","","","nkd;W jtWfpd;w my;yJ mrl;il nra;fpd;w@",""
"15","","","my;yJ",""
"","","(,)",",r;rl;lj;jpd;fPohd Gydha;nthd;iw elhj;J",""
"","","","fpd;w nghypR mYtynuhUthpdhy; mthplk;",""
"","","","Nfl;fg;gl;lnthU Nfs;tpf;Fg; gjpyspf;ifapy;",""
"","","","jfty; toq;fj; jtWfpd;w my;yJ ngha;ahd",""
"20","","","my;yJ  gpiotopAa;f;Fk;  jftiy  toq;F",""
"","","","fpd;w@ my;yJ",""
"","","(<)",",r;rl;lj;jpd;
;fPo; toq;fg;gl;l rl;lKiwahd",""
"","","","fl;lisapd;  my;yJ  gzpg;Giuapd;  eil",""
"","","","Kiwg;gLj;Jifia Ntz;Lnkd;W jLf;fpd;w",""
"25","","","my;yJ jlq;fy; nra;fpd;w@ my;yJ",""
"","","(c)",",r;rl;lj;jpd;  Vw;ghLfis  tYTWj;Jtj",""
"","","","idj; jLf;fpd;w my;yJ mjw;F Kl;Lf;fl;il",""
"","","","apLfpd;w>",""
