"4A","","","I fldgi - Y%S ,xld m%cd;dka;%sl iudcjd§ ckrcfha w;s úfYI .eiÜ m;%h - 2019'11'04","","",""
"","","PART  I  -  GAZETTE    EXTRAORDINARY    OF  THE  DEMOCRATIC  SOCIALIST  REPUBLIC  OF  SRI  LANKA  –  04.11.2019","","","",""
"","Serial","Chainage at","Type","River/Stream/Road","Length of","Width/diameter of"
"","No.","km","","Name","structure  (m)","the structure (m)"
"","24","11+979","Underpass","Mahaweli cannal Service","30.04","10x6"
"","","","","Road","",""
"","25","12+059","Box culvert","Drainage culvert","59.50","2x2"
"","26","12+389","Box culvert","Drainage culvert","50.32","2x2"
"","27","12+428","Underpass","Village Road","34.06","5x5"
"","28","12+889","Box culvert","Drainage culvert","29.83","2x2"
"","29","13+416","Box culvert","Drainage culvert","39.77","2x2"
"","30","13+919","Box culvert","Drainage culvert","47.58","2x2"
"","31","14+123","Underpass","Main canal of nearby lake","34.06","5x5"
"","32","13+859","Box culvert","Drainage culvert","30.25","2x2"
"","33","15+131","Box culvert","Drainage culvert","31.46","2x2"
"","34","16+231","Underpass","Main  canal of  nerarby","44.33","5x3.5"
"","","","","lake","",""
"","35","16+411","Box culvert","Spillway  of  nearby  lake","42.84","3/5x4"
"","36","16+535","Slab culvert","Protection  for  water  line","56.14","3x2"
