"Serial","Chainage at","Type","River/Stream/Road","Length of"
"No.","Km","","Name","Structure (m)"
"1","3+047","Box culvert","Drainage culvert","42.82"
"2","3+209","Underpass","Animal Crossing","36.23"
"3","4+409","Box culvert","Drainage culvert","35.08"
"4","4+864","Box culvert","Drainage culvert","28.68"
"5","5+589","Box culvert","Drainage culvert","71.02"
"6","6+909","Box culvert","Drainage culvert","64.06"
"7","7+009","Underpass","Village Road","30.04"
"8","7+379","Box culvert","Drainage culvert","58.92"
"9","7+703","Box culvert","Drainage culvert","28.81"
"10","8+309","Box culvert","Drainage culvert","34.01"
"11","8+519","Box culvert","Drainage culvert","34.26"
"12","8+899","Box culvert","Drainage culvert","33.90"
"13","9+210","Underpass","Village Road","28.99"
"14","9+259","Box culvert","Drainage culvert","52.30"
"15","9+559","Box culvert","Drainage culvert","29.83"
"16","9+869","Box culvert","Drainage culvert","64.65"
"17","10+339","Underpass","Village Road","29.44"
"18","10+354","Box culvert","Drainage culvert","45.40"
"19","10+759","Box culvert","Drainage culvert","64.30"
"20","11+097","Box culvert","Drainage culvert","43.08"
"21","11+266","Box culvert","Drainage culvert","65.26"
"22","11+659","Box culvert","Drainage culvert","33.18"
"23","11+907","Box culvert","Drainage culvert","54.70"
