"Head","7","Judicial  Service  Commission","",""
"","","Programme  01
Operational  Activities","36,010,000","1,460,000"
"Head","8","National  Police  Commission","",""
"","","Programme  01
Operational  Activities","40,940,000","470,000"
"Head","9","Administrative  Appeals  Tribunal","",""
"","","Programme  01
Operational  Activities","16,625,000","1,050,000"
"Head","1 0","Commission  to  Investigate  Allegations  of  Bribery  or  Corruption","",""
"","","Programme  01
Operational  Activities","180,990,000","17,250,000"
"Head","1 1","Office  of    the  Finance  Commission","",""
"","","Programme  01
Operational  Activities","36,625,000","4,100,000"
"Head","1 2","National  Education  Commission","",""
"","","Programme  01
Operational  Activities","31,584,000","5,450,000"
"Head","1 3","Human  Rights  Commission  of  Sri  Lanka","",""
"","","Programme  01
Operational  Activities","150,500,000","40,750,000"
"Head","1 4","Department  of  Attorney  General","",""
"","","Programme  01
Operational  Activities","492,120,000","38,300,000"
"Head","1 5","Department  of  Legal  Draftsman","",""
"","","Programme  01
Operational  Activities","69,845,000","42,475,000"
"Head","1 6","Parliament","",""
"","","Programme  01
Operational  Activities","1,604,840,000","123,300,000"
"Head","1 7","Office  of  the  Leader  of  the  House  of  Parliament","",""
"","","Programme  01
Operational  Activities","26,675,000","2,150,000"
