"","Ministry    of  Sugar  Industry  Development","","","",""
"Recurrent","","172,384,000","","",""
"Capital","","94,950,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head
186","Minister    of  Sugar  Industry  Development","","","",""
"Programme  01","Operational  Activities","","76,184,000","16,900,000",""
"Programme  02","Development  Activities","","96,200,000","78,050,000",""
"","Ministry  of  Investment  Promotion","","","",""
"Recurrent","","126,000,000","","",""
"Capital","","48,000,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head
187","Minister  of  Investment  Promotion","","","",""
"Programme  01","Operational  Activities","","126,000,000","48,000,000","Appropriation (Amendment) Act, No. 47 of 2014"
"","Ministry  of  Botanical  Gardens  and  Public  Recreation","","","",""
"Recurrent","","505,600,000","","",""
"Capital","","1,027,908,000","","",""
"Made  up  as  follows  :—","","","","",""
"Head
188","Minister  of  Botanical  Gardens  and  Public  Recreation","","","",""
"Programme  01","Operational  Activities","","64,750,000","85,633,000",""
"Head
294","Department  of  National  Zoological  Gardens","","","",""
"Programme  02","Development  Activities","","208,750,000","516,975,000",""
"Head
322","Department  of  National  Botanical  Gardens","","","",""
"Programme  02","Development  Activities","","232,100,000","425,300,000","31"
