"Head","","","","Recurrent","Capital","22"
"No.","","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"Head","220","Department  of  Ayurveda","","","",""
"","","Programme  01","Operational  Activities","94,200,000","10,400,000",""
"","","Programme  02","Development  Activities","701,500,000","488,286,000",""
"","","Ministry  of  Fisheries  and  Aquatic  Resources  Development","","","",""
"","","Recurrent","5,719,000,000","","",""
"","","Capital","3,619,000,000","","",""
"Made  up  as  follows  :—","","","","","",""
"Head","139","","Minister  of  Fisheries  and  Aquatic  Resources  Development","","",""
"","","Programme  01","Operational  Activities","332,825,000","46,691,000",""
"","","Programme  02","Development  Activities","719,660,000","2,009,259,000","Appropriation (Amendment) Act, No. 47 of 2014"
"Head","290","Department  of  Fisheries  and  Aquatic  Resources","","","",""
"","","Programme  01","Operational  Activities","4,666,515,000","1,563,050,000",""
"","","","Ministry    of  Livestock  and  Rural  Community    Development","","",""
"","","Recurrent","","665,448,000","",""
"","","Capital","5,023,596,000","","",""
"Made  up  as  follows  :—","","","","","",""
"Head","140","","Minister    of  Livestock  and  Rural  Community    Development","","",""
"","","Programme  01","Operational  Activities","294,102,000","77,920,000",""
"","","Programme  02","Development  Activities","—","4,359,876,000",""
"Head","292","Department  of  Animal  Production  and  Health","","","",""
"","","Programme  01","Operational  Activities","371,346,000","85,600,000",""
"","","Programme  02","Development  Activities","—","500,200,000",""
