"Head","","","","Recurrent","Capital","18"
"No.","","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"Head
212","Department    of  Examinations","","","","",""
"","Programme  02","Development  Activities","","2,350,600,000","211,250,000",""
"Head
213","Department  of  Educational  Publications","","","","",""
"","Programme  02","Development  Activities","","29,275,000","80,800,000",""
"","Ministry  of  Labour  and  Labour  Relations","","","","",""
"","Recurrent","","1,325,660,000","","",""
"","Capital","","415,500,000","","",""
"Made  up  as  follows  :—","","","","","",""
"Head
127","Minister  of  Labour  and  Labour  Relations","","","","","Appropriation (Amendment) Act, No. 47 of 2014"
"","Programme  01","Operational  Activities","","100,210,000","31,600,000",""
"","Programme  02","Development  Activities","","86,900,000","10,700,000",""
"Head
221","Department  of  Labour","","","","",""
"","Programme  01","Operational  Activities","","584,100,000","278,000,000",""
"","Programme  02","Development  Activities","","554,450,000","95,200,000",""
"","","Ministry  of  Traditional  Industries  and  Small  Enterprise  Development","","","",""
"","Recurrent","","694,310,000","","",""
"","Capital","","431,400,000","","",""
"Made  up  as  follows  :—","","","","","",""
"Head
128","","Minister  of  Traditional  Industries  and  Small  Enterprise  Development","","","",""
"","Programme  01","Operational  Activities","","224,310,000","13,400,000",""
"","Programme  02","Development  Activities","","470,000,000","418,000,000",""
