"Head","","","","Recurrent","Capital","28"
"No.","","","","Expenditure","Expenditure",""
"","","","","Rs.","Rs.",""
"","Ministry  of  Civil  Aviation","","","","",""
"","Recurrent","","171,000,000","","",""
"","Capital","","26,620,408,000","","",""
"Made  up  as  follows  :—","","","","","",""
"Head
176","Minister  of  Civil  Aviation","","","","",""
"","Programme  01","Operational  Activities","","171,000,000","7,500,000",""
"","Programme  02","Development  Activities","","—","26,612,908,000",""
"","Ministry  of  Culture  and  the  Arts","","","","",""
"","Recurrent","","1,064,440,000","","",""
"","Capital","","849,250,000","","",""
"Made  up  as  follows  :—","","","","","","Appropriation (Amendment) Act, No. 47 of 2014"
"Head
177","Minister  of  Culture  and  the  Arts","","","","",""
"","Programme  01","Operational  Activities","","147,000,000","30,700,000",""
"","Programme  02","Development  Activities","","511,600,000","633,000,000",""
"Head
206","Department  of  Cultural  Affairs","","","","",""
"","Programme  01","Operational  Activities","","76,270,000","5,023,000",""
"","Programme  02","Development  Activities","","329,530,000","180,527,000",""
"","","Ministry    of  Coconut  Development  and  Janatha  Estate  Development","","","",""
"","Recurrent","","952,105,000","","",""
"","Capital","","989,549,000","","",""
"Made  up  as  follows  :—","","","","","",""
"Head
178","","Minister  of  Coconut  Development  and  Janatha  Estate  Development","","","",""
"","Programme  01","Operational  Activities","","308,651,000","54,849,000",""
"","Programme  02","Development  Activities","","643,454,000","934,700,000",""
