"","Local Authorities Elections (Special Provisions)","",""
"","","","5"
"","Act, N0. 1 0f 2025","",""
"District","","Local Authority",""
"(03) Kalutara","9","Bulathsinhala Pradeshiya Sabha",""
"","10","Mathugama Pradeshiya Sabha",""
"","11","Dodangoda Pradeshiya Sabha",""
"","12","Kalutara Pradeshiya Sabha",""
"","13","Beruwala Pradeshiya Sabha",""
"","14","Palindanuwara Pradeshiya Sabha",""
"","15","Agalawaththa Pradeshiya Sabha",""
"","16","Walallawita Pradeshiya Sabha",""
"","17","Millaniya Pradeshiya Sabha",""
"(04) Kandy","1","Kandy Municipal Council",""
"","2","Wattegama Urban Council",""
"","3","Kadugannawa Urban Council",""
"","4","Gampola Urban Council",""
"","5","Nawalapitiya Urban Council",""
"","6","Thumpane Pradeshiya Sabha",""
"","7","Harispattuwa Pradeshiya Sabha",""
"","8","Akurana Pradeshiya Sabha",""
"","9","Poojapitiya Pradeshiya Sabha",""
"","10","Pathadumbara Pradeshiya Sabha",""
"","11","Panwila Pradeshiya Sabha",""
"","12","Udadumbara Pradeshiya Sabha",""
"","13","Minipe Pradeshiya Sabha",""
"","14","Medadumbara Pradeshiya Sabha",""
"","15","Kundasale Pradeshiya Sabha",""
"","16","Pathahewaheta Pradeshiya Sabha",""
"","17","Kandy Gravets and Gangawata",""
"","","Korale Pradeshiya Sabha",""
