"","","Local Authorities Elections (Special Provisions)",""
"16","","",""
"","","","Act, N0. 1 0f 2025"
"","District","","Local Authority"
"(25) Kegalle","","1","Kegalle Municipal Council"
"","","2","Warakapola Pradeshiya Sabha"
"","","3","Galigamuwa Pradeshiya Sabha"
"","","4","Kegalle Pradeshiya Sabha"
"","","5","Rambukkana Pradeshiya Sabha"
"","","6","Mawanella Pradeshiya Sabha"
"","","7","Aranayaka Pradeshiya Sabha"
"","","8","Yatiyantotoa Pradeshiya Sabha"
"","","9","Bulathkohupitiya Pradeshiya Sabha"
"","","10","Ruwanwella Pradeshiya Sabha"
"","","11","Deraniyagala Pradeshiya Sabha"
"","","12","Dehiowita Pradeshiya Sabha"
