"අංකය","","","","අ
ං
කය","(cid:7)මාණය  ස්වභාවය","(cid:28){බඳ fස්තර","fස්තර"
"","(","ෙහ9ටයාa)","","","","",""
"153","","0.0101","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"160","","0.0190","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"166","","0.0187","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"188","","0.1974","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"191","","0.3390","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"193","","0.1696","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"194","","0.2194","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"195","","0.0485","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"196","","0.1424","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"197","","0.0156","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"201","","0.1259","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"203","","0.2866","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"208","","0.1854","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"228","","0.0649","රජය","–","ස)kaණ  (cid:7)ථම ප(cid:10)%ය","–","–"
"0
1-353/13","","","","","","",""
