"","Act","Section","Offence"
"9","","358","kidnapping  or  abducting  in  order  to"
"","","","subject  a  person  to  grievous  hurt,"
"","","","slavery,  &c."
"1 0","","360","kidnapping  or  abducting  a  child  with"
"","","","intent  to  steal  movable  property"
"","","","from  the  person  of  such  child"
"1 1","","360A","procuration"
"1 2","","360B","sexual  exploitation  of  children"
"1 3","","360C","trafficking"
"1 4","","362A","c o h a b i t a t i o n   c a u s e d   b y   a   m a n"
"","","","deceitfully  inducing  a  belief  of"
"","","","lawful  marriage"
"1 5","","362B","bigamy"
"1 6","","362C","bigamy  with  concealment  of  the"
"","","","former  marriage"
"1 7","","362D","going  through  marriage  ceremony"
"","","","with  fraudulent  intention  without"
"","","","lawful  marriage"
"1 8","","364","rape"
"1 9","","364A","incest"
"2 0","","365B","grave  sexual  abuse"
"2 1","","373","extortion"
"2 2","","374","putting  or  attempting  to  put  a  person"
"","","","in  fear  of  injury,  in  order  to  commit"
"","","","extortion"
"2 3","","375","extortion  by  putting  a  person  in  fear"
"","","","of  death  or  grievous  hurt"
"2 4","","376","putting  or  attempting  to  put  a  person"
"","","","in  fear  of  death  or  grievous  hurt  in"
"","","","order  to  commit  extortion"
"2 5","","377","extortion  by  threat  of  accusation  of"
"","","","an  offence  punishable  with  death  or"
"","","","imprisonment  for  ten  years"
