"","jiyg;G
324","fzf;fha;T  Kfhikj;Jtj;  jpizf;fsk;","","","",""
"","","epfo;r;rpj;jpl;lk;      01    nray;Kiwr;  nraw;ghLfs;","","49,050,000","3,400,000",""
"","jiyg;G
329","jfty;  njhopy;El;g  Kfhikj;Jtj;  jpizf;fsk;","","","",""
"","","epfo;r;rpj;jpl;lk;   01   nray;Kiwr; nraw;ghLfs;","","261,585,000","9,715,000",""
"","jiyg;G
333","nfhk;g;Nuhyh;  ehafj;jpd;  mYtyfk;","","","",""
"5","","","","","",""
"","","epfo;r;rpj;jpl;lk;      01    nray;Kiwr;  nraw;ghLfs;","","28,398,000","18,200,000",""
"","","ghJfhg;G  mikr;R","","","",""
"","","kPz;LtUk; nrytpdk;","260,755,375,000","","",""
"","","%yjdr;  nrytpdk;","38,437,083,000","","",""
"10","mikT  tUkhW",":—","","","",""
"","jiyg;G
103","ghJfhg;G  mikr;rh;","","","",""
"","","epfo;r;rpj;jpl;lk;   01   nray;Kiwr; nraw;ghLfs;","","4,967,062,000","5,552,417,000",""
"","","epfo;r;rpj;jpl;lk;   02   mgptpUj;jpr; nraw;ghLfs;","","2,014,000,000","6,724,073,000","xJf;fPL (jpUj;jk;)"
"","jiyg;G
222",",yq;ifj;  jiug;gil","","","",""
"","","epfo;r;rpj;jpl;lk;   01   nray;Kiwr; nraw;ghLfs;","","149,536,395,000","8,636,500,000",""
"15","","","","","",""
"","jiyg;G
223",",yq;iff;  flw;gil","","","",""
"","","epfo;r;rpj;jpl;lk;   01   nray;Kiwr; nraw;ghLfs;","","50,418,948,000","9,840,656,000",""
"","jiyg;G
224",",yq;if  thd;gil","","","",""
"","","epfo;r;rpj;jpl;lk;   01   nray;Kiwr; nraw;ghLfs;","","36,512,600,000","7,315,237,000",""
"20","jiyg;G
320","rptpy;  ghJfhg;Gj;  jpizf;fsk;","","","",""
"","","epfo;r;rpj;jpl;lk;   01   nray;Kiwr; nraw;ghLfs;","","17,268,120,000","315,000,000",""
"","jiyg;G
325",",yq;if  flNyhug;  ghJfhg;Gj;  jpizf;fsk;","","","",""
"","","epfo;r;rpj;jpl;lk;   01   nray;Kiwr; nraw;ghLfs;","","38,250,000","53,200,000","7"
