"Sections","Repeal","Insert"
"Amended","",""
"6","five  hundred  rupees","two  hundred  thousand  rupees"
"23(1)","five  hundred  rupees","two  hundred  thousand  rupees"
"24(3)","five  hundred  rupees","two  hundred  thousand  rupees"
"24(4)","five  hundred  rupees","two  hundred  thousand  rupees"
"41(3)","five  hundred  rupees","two  hundred  thousand  rupees"
"67(2)","one  thousand  rupees","four  hundred  thousand  rupees"
"68(1)","one  hundred  rupees","fifty  thousand  rupees"
"68(2)","one  hundred  rupees","fifty  thousand  rupees"
"6 9","one  hundred  rupees","fifty  thousand  rupees"
"7 0","one  hundred  rupees","fifty  thousand  rupees"
"7 2","five  hundred  rupees","two  hundred  thousand  rupees"
"73(3)","one  hundred  rupees","fifty  thousand  rupees"
"74(2)","one  hundred  rupees","fifty  thousand  rupees"
"75(6)","five  hundred  rupees","two  hundred  thousand  rupees"
"80  (1)","five  hundred  rupees","two  hundred  thousand  rupees"
"81(1)","five  hundred  rupees","two  hundred  thousand  rupees"
"86(1)","three  hundred  rupees","one  hundred  thousand  rupees"
"87(1)","three  hundred  rupees","one  hundred  thousand  rupees"
"109(2)","fifty  rupees","twenty-five  thousand  rupees"
"110(2)","five  hundred  rupees","two  hundred  thousand  rupees"
