"","","","","முற்ணக் ைணக்கு சசயற்ாடுைளின் வவரயவற","","","","","",""
"","சதாடர","அவமச்சு / திவணக்ைளம்","சசலவின","I","II","III","IV","V","",""
"","இல.","","இல.","அரச சசயற்ாடுைள்","அரசாஙைததின்","அரச","அரச","அரச","",""
"","","","","","சசயற்ாடுைளின்","சசயற்ாட்டு","சசயற்ாட்டு","சசயற்ாட்டு","",""
"","","","","","சசலவினததின்","வரவிறைான","்றறு மீதிக்ைான","ச்ாறுபபுைளின்","",""
"","","","","","உச்ச எலவலைள்","ஆைக் குவறநத","உச்ச எலவலைள்","உச்ச எலவலைள்","",""
"","","","","","","எலவலைள்","","","",""
"","","","","","ரூ்ா","ரூ்ா","ரூ்ா","ரூ்ா","",""
"","1","அதிசமதகு சனாதி்தி","00101","அரச அலுவலரைளுக்ைான","40,000,000","37,000,000","150,000,000","","-",""
"","","","","முற்ணம்","","","","","",""
"","2","்ிரதம அவமச்சர","00201","அரச அலுவலரைளுக்ைான","20,000,000","11,000,000","80,000,000","","-",""
"","","அலுவலைம்","","முற்ணம்","","","","","",""
"5","3","உயர நீதிமன்ற நீதி்திைள்","00401","அரச அலுவலரைளுக்ைான","1,500,000","300,000","3,000,000","","-","ஒதுக்கீடு"
"","","","","முற்ணம்","","","","","",""
"","4","அவமச்சரவவ அலுவலைம்","00501","அரச அலுவலரைளுக்ைான","4,000,000","3,500,000","15,000,000","","-",""
"","","","","முற்ணம்","","","","","",""
"","5","அரசாஙை சசவவ","00601","அரச அலுவலரைளுக்ைான","12,000,000","9,000,000","50,000,000","","-",""
"10","","ஆவணக்குழு அலுவலைம்","","முற்ணம்","","","","","",""
"","6","நீதிச் சசவவைள்","00701","அரச அலுவலரைளுக்ைான","3,000,000","2,500,000","15,000,000","","-",""
"","","ஆவணக்குழு","","முற்ணம்","","","","","",""
"","7","சதசிய ச்ாலிஸ்","00801","அரச அலுவலரைளுக்ைான","5,000,000","4,500,000","15,000,000","","-",""
"","","ஆவணக்குழு","","முற்ணம்","","","","","",""
"15","8","நிரவாை சமன்முவறயீட்டு","00901","அரச அலுவலரைளுக்ைான","2,000,000","700,000","4,000,000","","-",""
"","","நியாயசவ்","","முற்ணம்","","","","","",""
"","9","இலஞ்சம் அலலது","01001","அரச அலுவலரைளுக்ைான","15,000,000","10,000,000","45,000,000","","-",""
"","","ஊழலைள் ்றறிய","","முற்ணம்","","","","","",""
"","","சாததுதலைவள","","","","","","","",""
"20","","புலனாயவு சசயவதறைான","","","","","","","",""
"","","ஆவணக்குழு","","","","","","","",""
