"","இல.","","","சசலவினம்","சசலவினம்"
"","","","","ரூ்ா","ரூ்ா"
"","","அவமவு வருமாறு :-","","",""
"","தவலபபு","149","வைதசதாழில மறறும் சதாழிலமுயறசியாண்வம அ்ிவிருததி அவமச்சர","",""
"","","","நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","1,392,700,000","143,800,000"
"","","","நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","3,069,000,000","8,426,500,000"
"5","தவலபபு","303","சநசவுக் வைதசதாழில திவணக்ைளம்","",""
"","","","நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","343,300,000","67,700,000"
"","","","ைடறசறாழில, நீாியல வளஙைள் மறறும் ைடல வளஙைள் அவமச்சு","",""
"","","","6,213,000,000 
     மீண்டுவரும்","",""
"","","","5,227,000,000 
     மூலதன","",""
"10","","அவமவு வருமாறு :-","","",""
"","தவலபபு","151","ைடறசறாழில, நீாியல வளஙைள் மறறும் ைடல வளஙைள் அவமச்சர","",""
"","","","நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","395,000,000","42,000,000"
"","","","நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","1,627,000,000","4,998,000,000"
"","தவலபபு","290","ைடறசறாழில மறறும் நீரை வளமூலஙைள் திவணக்ைளம்","",""
"15","","","நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","4,191,000,000","187,000,000"
"","","","சுறறாடல அவமச்சு","",""
"","","","12,534,000,000 
     மீண்டுவரும்","",""
"","","","3,506,000,000 
     மூலதன","",""
"","","அவமவு வருமாறு :-","","",""
"20","தவலபபு","160","சுறறாடல அவமச்சர","",""
"","","","நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","1,012,000,000","85,000,000"
"","","","நிைழ்ச்சிததிட்டம் 02
அ்ிவிருததிச் சசயற்ாடுைள்","1,704,000,000","908,000,000"
"","தவலபபு","283","வன ்ாதுைாபபுத திவணக்ைளம்","",""
"","","","நிைழ்ச்சிததிட்டம் 01
சசயலமுவறச் சசயற்ாடுைள்","2,500,000,000","1,280,000,000"
