"","சதாடர","அவமச்சு / திவணக்ைளம்","சசலவின","I","II","III","IV","40
V"
"","இல.","","இல.","அரச சசயற்ாடுைள்","அரசாஙைததின்","அரச","அரச","அரச"
"","","","","","சசயற்ாடுைளின்","சசயற்ாட்டு","சசயற்ாட்டு","சசயற்ாட்டு"
"","","","","","சசலவினததின்","வரவிறைான","்றறு மீதிக்ைான","ச்ாறுபபுைளின்"
"","","","","","உச்ச எலவலைள்","ஆைக் குவறநத","உச்ச எலவலைள்","உச்ச எலவலைள்"
"","","","","","","எலவலைள்","",""
"","","","","","ரூ்ா","ரூ்ா","ரூ்ா","ரூ்ா"
"","75","சட்ட வவரஞர","23001","அரச அலுவலரைளுக்ைான","10,000,000","3,500,000","20,000,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","",""
"","76","ைடன் இணக்ைச் சவ்","23101","அரச அலுவலரைளுக்ைான","5,000,000","900,000","7,500,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","",""
"5","77","சிவறச்சாவலைள்","23201","அரச அலுவலரைளுக்ைான","145,000,000","110,000,000","319,000,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","",""
"","78","சிவறச்சாவலைள்","23202","சிவறச்சாவலக்","250,000,000","275,000,000","75,000,000","15,000,000"
"","","திவணக்ைளம்","","வைதசதாழில மறறும்","","","",""
"","","","","விவசாய முயறசிைள்","","","",""
"10","79","அரசாஙை இரசாயனப","23301","அரச அலுவலரைளுக்ைான","12,000,000","7,000,000","35,000,000","-"
"","","்குப்ாயவாளர","","முற்ணம்","","","","ஒதுக்கீடு"
"","","திவணக்ைளம்","","","","","",""
"","80","உயர நீதிமன்றப","23401","அரச அலுவலரைளுக்ைான","22,000,000","15,000,000","65,000,000","-"
"","","்திவாளர அலுவலைம்","","முற்ணம்","","","",""
"15","81","இலஙவை சட்ட","23501","அரச அலுவலரைளுக்ைான","700,000","800,000","7,000,000","-"
"","","ஆவணக்குழு","","முற்ணம்","","","",""
"","82","அரச ைரும சமாழிைள்","23601","அரச அலுவலரைளுக்ைான","6,000,000","4,000,000","18,000,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","",""
"","83","சதசிய திட்டமிடல","23701","அரச அலுவலரைளுக்ைான","4,000,000","4,000,000","13,000,000","-"
"20","","திவணக்ைளம்","","முற்ணம்","","","",""
"","84","அரசிவறக் சைாள்வைத","23801","அரச அலுவலரைளுக்ைான","3,800,000","3,000,000","11,000,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","",""
"","85","சவளிநாட்டு வளஙைள்","23901","அரச அலுவலரைளுக்ைான","5,500,000","6,000,000","21,800,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","",""
"25","86","சதசிய வரவுசசலவுத","24001","அரச அலுவலரைளுக்ைான","11,000,000","6,000,000","26,000,000","-"
"","","திட்டத திவணக்ைளம்","","முற்ணம்","","","",""
"","87","அரச சதாழிலமுயறசிைள்","24101","அரச அலுவலரைளுக்ைான","7,000,000","3,500,000","18,000,000","-"
"","","திவணக்ைளம்","","முற்ணம்","","","",""
