"","தவலபபு","்ிாிவு /அவமச்சு/ 
அதன்ைீழ் சசலவினததுக்கு","சசலவின","மீண்சடழும்","மூலதனச்","சமாததச்"
"","இல.","திவணக்ைளம் அலலது 
அதிைாரமளிக்ைப்டுைின்ற","நிைழ்ச்சிததிட்டம்","சசலவினம்","சசலவினம்","சசலவினம்"
"","","நிறுவனததினால 
அரசியலவமப்ினதும்","","ரூ்ா","ரூ்ா","ரூ்ா"
"","","உறப்ட்ட சசலவினம்
சட்டததினதும் ஏற்ாடு","","","",""
"","1","அதிசமதகு சனாதி்தி
அரசியலவமப்ின் 36 ஆம்","நிைழ்ச்சிததிட்டம் 01","7,020,000","","7,020,000"
"","","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","சசயற்ாடுைள்","","",""
"","4","உயர நீதிமன்ற நீதி்திைள் அரசியலவமப்ின் 108 ஆம்","நிைழ்ச்சிததிட்டம் 01","95,000,000","","95,000,000"
"5","","","","","",""
"","","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","சசயற்ாடுைள்","","",""
"","6","அரசாஙை சசவவ 
அரசியலவமப்ின் IX ஆம்","நிைழ்ச்சிததிட்டம் 01","10,260,000","","10,260,000"
"","","ஆவணக்குழு அலுவலைம்
அததியாயம்","சசயலமுவறச்","","-",""
"","","","சசயற்ாடுைள்","","",""
"10","7","நீதிச் சசவவ ஆவணக்குழு அரசியலவமப்ின் XV அ ஆம்","நிைழ்ச்சிததிட்டம் 01","2,700,000","","2,700,000"
"","","அததியாயம்","சசயலமுவறச்","","-",""
"","","","சசயற்ாடுைள்","","",""
"","8","சதசிய ச்ாலிஸ் 
அரசியலவமப்ின்  XVIII அ","நிைழ்ச்சிததிட்டம் 01","8,100,000","","8,100,000"
"","","ஆவணக்குழு
ஆம் அததியாயம்","சசயலமுவறச்","","-",""
"15","","","சசயற்ாடுைள்","","",""
"","10","இலஞ்சம் அலலது 
2023 ஆம் ஆண்டின் 9 ஆம்","நிைழ்ச்சிததிட்டம் 01","16,800,000","","16,800,000"
"","","ஊழல குறறச்சாட்டுைள் 
இலக்ை, ஊழல எதிரபபுச்","சசயலமுவறச்","","-",""
"","","்றறிய சாததுதலைவள 
சட்டம்","சசயற்ாடுைள்","","",""
"","","புலனாயவு சசயவதறைான","","","",""
"20","","ஆவணக்குழு","","","",""
"","16","்ாராளுமன்றம்
அரசியலவமப்ின் 65 ஆம்","நிைழ்ச்சிததிட்டம் 01","1,500,000","","1,500,000"
"","","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","சசயற்ாடுைள்","","",""
"","20","சதரதலைள் ஆவணக்குழு
அரசியலவமப்ின் 103 ஆம்","நிைழ்ச்சிததிட்டம் 01","6,000,000","","6,000,000"
"25","","உறுபபுவர","சசயலமுவறச்","","-",""
"","","","சசயற்ாடுைள்","","",""
