"36 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"4.13","The  premises  should  be  provided  with  adequate and appropriate  artificial  or natural light  or  ventilation and the"
"","electrical  installations  on  top  of  vegetables  and  fruits  stored  and  stored  must  be  in  safe  condition.  If  they  are"
"","broken, the bulbs should be covered to prevent vegetables and fruits from joining."
"4.14","If a fruit stall or storage area is used for fruit ripening, a separate cottage should be prepared."
"5.","Every person licensed under this by-law shall maintain the premises in accordance with the following conditions:"
"5.1","Wastewater slope, where vegetables and fruit are sold or disposed of at a display site, must be sucked up or taken"
"","to a central treatment unit with an approved system complete with compact drains or other suitable construction"
"","materials. Also use a water trap or an approved suitable method to prevent combustion between the premises and"
"","the final disposal;"
"5.2","Adequate measures must be taken to prevent wastewater from flowing to a public sewer to a open site, except to"
"","the method of sub-section 5 above;"
"5.3","The pit should not be exposed to the exhaust or absorbent air and shall not contaminate with ground water;"
"5.4","Waterproofing boards should be built to the proper standards;"
"5.5","constructed the  suction  above  5.1  mentioned   must  be  constructed  at  least  25  meters .away  from  any  source  of"
"","water in the suction;"
"5.6","Everyone who works in the premises:"
