"50 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"6.(30)","Food handling and processing areas shall be free from pesticides. There needs to be an effective and ongoing"
"","program to control pests."
"","6.(31)       The  Licensee  shall  ensure that  food  users  in a  Licensed  Institution  are  provided  with advice  and training  on"
"","food hygiene activities to suit their work"
"","6.(32)       Licensees  must have  knowledge  of  food  hygiene  policies  and  practices  in  order  to  determine  potential risks"
"","and take action to address any deficiencies."
"6.(33)      The waste management of the institution shall be as follows.",""
"","i.      Licensed  organizations  must  have  an  efficient  and  appropriate  waste  disposal  system  that  is  always  in"
"","good working order and repaired."
"","ii.   The waste must be disposed of in accordance with the Waste Management Program implemented by the"
"","Pradeshiya Sabha."
"","iii.   It is the responsibility of the Licensee to take action to minimize the daily waste generation of Licensed"
"","Institutions."
"","6.(34)       Disposal of waste shall be legal in accordance with the conditions laid down by the Medical Officer of Health,"
"","the  Public  Health  Inspector  with  the  approval  of  the  Pradeshiya  Sabha,  when  the  Licensee  has  a  disposal"
"","facility."
"","6.(35)       Every person dealing with the use of food related to the premises should ensure that the area health officer is"
"","in good health before such service and such certificate shall be in the format specified in the second schedule"
"","of this by-law. The medical examination of a person dealing with food consumption shall be conducted from"
"","time to time as determined by the Medical Officer of  Health of the respective area and from time to time as"
"","specified clinically or as epidemiologically."
"","6.(36)       All  persons  dealing  with  the  use  of  food  shall  be  of  the highest  personal hygiene  at  the  time  of  their  work,"
"","shall wear helmets, gloves, mouthpieces and shoes at all times, and shall wear suitable protective clothing."
"","6.(37)       Any person entering a food-handling place should wash his hands with an appropriate cleaning solution and"
"","drinking water. Food users should wash their hands with a cleaning solution and drinking water before starting"
"","work or resuming after using the toilet or touching any ingredient or contaminant."
"","6.(38)     When dealing with food, persons engaged in preparing and serving food or otherwise in the premises should"
"","make apron made of pure and washable material and without pockets."
"6. (39)","Gloves used in handling food products shall be in good and clean hygiene."
"6. (40)","The premises should have adequate first aid facilities."
"","6. (41)      Where  food  or  drink  is  suspected  to  have  been  infected  or  infected  with  any  infectious  disease,  such  as  a"
"","carrier or a person suffering from infected wounds, skin infections, ulcers, and diarrhea, directly or indirectly;"
"","Should not  be  allowed  to hold any  post.  Any  person  who has  contracted  such  a  disease  should  immediately"
"","notify the licensee that he has been sick."
"7.","Every  person  dealing  with  food  should  not  engage  in  food  combustion,  smoking,  spitting,  chewing  gum,"
"","chewing  gum,  or  coughing,  sneezing,  touching  the  nose,  or  any  other  similar  activity  that  may  cause  food"
"","contamination."
"8.","Everyone dealing with food on the premises,"
"","i.    Should not leave personal belongings and clothing in food handling places."
"","ii.    Food should not be left in any place that is at risk of burnout."
"","iii.   Ensure that all food stored on the premises is suitable for human consumption."
"","iv.   Adequate  measures  should  be 
taken 
to  protect 
food 
from  corrosion  when  storing, 
transporting,"
"","delivering, and exposing food."
