"4 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"6. (5)","The agency shall prepare a permanent cleaning and disinfection work schedule."
"6. (6)","The employee must be employed to ensure that the cleaning and disinfection process is properly carried out."
"6. (7)","Adequate  precautionary  measures  shall  be  taken  to  prevent  contamination  of  other  substances  by  cleaning"
"","and  disinfecting  equipment  or  tools  with  water,  washers,  disinfectants  and  their  liquids.  If  there  are  any"
"","residues on the surface of this cleanser, rinse it several times with drinking water."
"6. (8)","The  walls,  floor  and  drainage  areas  of  the  employees  where  food  is  served  must  be  thoroughly  disinfected"
"","and maintained."
"6. (9)","The containers shall be kept in special safe containers when transporting and storing the containers within the"
"","premises to prevent damage to containers containing hazardous materials."
"6. (10)","The Licensee shall ensure that the employees of a Licensed Institution are provided with appropriate advice"
"","and training."
"6. (11)","Licensees  must  have  knowledge  of  the nature  and  practices  of  the  business  in  order  to  determine  potential"
"","risks and take action to address any deficiencies."
"6. (12)","In the event of disposal of waste disposal facilities in the market place, the disposal of waste is legal, subject"
"","to the conditions stipulated by the Medical Officer of Health, Public Health Inspector with the approval of the"
"","Pradeshiya Sabha."
"6. (13)","Disposal of wastes in the premises of the Pradeshiya Sabha, where it is intended to be opened in an area not"
"","covered by the Solid Waste Management Service, as prescribed by the Medical Officer of Health, the Public"
"","Health Inspector must be."
"6. (14)","In  the  event  of  a  license  being  operated  by  a  Pradeshiya  Sabha  under  the  purview  of  a  Solid  Waste"
"","Management Service, it shall be the duty of the Licensee to maintain the relevant waste management services"
"","in accordance with the instructions and regulations of the relevant Waste Management Service."
"6. (15)","It shall be the duty of the Licensee to dispose of waste generated in the premises of the License in accordance"
"","with the regulations and regulations applicable thereto."
"6. (16)","Every person who works in offensive, dangerous and offensive business must wear the appropriate protective"
"","clothing, such as helmets, gloves, mouthpieces and footwear as and when required."
"6. (17)","The  Licensee  shall  duly  perform  the  functions  specified  by  the  Health  Medical  Officer  or  Public  Health"
"","Inspector, Chairman or Chairman authorized by the Health Medical Officer or the Public Health Inspector to"
"","ensure that the premises are operated in accordance with the license. must be."
"6. (18)","The  production  of  raw  materials,  storage  materials  or  chemicals  relating  to  the  Premises  shall  not  be"
"","maintained in a manner that is outside the stink or otherwise."
"6. (19)","Maximum packing height shall not exceed 1.5 m from the ground level unless adequate security measures are"
"","used for displaying or storing hazardous, offensive or hazardous substances."
"6. (20)","Adequate  space  shall  be  reserved  at  all  premises  to  ensure  that  hazardous  and  unhealthy  substances  are"
"","returned to the manufacturing establishment, and that the place should be securely closed."
"6. (21)","If the sale of agrochemicals or similar hazardous materials is approved, the permit shall be displayed in such"
"","a manner as to be available to the consumer for sale."
"6. (22)","Every  permit holder  shall  separately  classify,  label and  label  the goods  or  materials  for  sale  in his  place  of"
"","sale."
"6. (23)","All goods or materials for sale shall be for sale in accordance with the laws and standards of the time."
"6. (24)","Every licensee shall release any unpleasant vapors or gases emitted in any production work to the atmosphere"
"","in  accordance  with  the  regulations  of  the  CEA  in  such  a  manner  that  there  is  no  possibility  of  harmful  or"
"","unpleasant effects on the diffusion."
"6. (25)","Every licensee shall control the noise or vibration emitted in any production work in accordance with CEA"
"","regulations."
