"","","Nugegoda","","","","Eral Asoka",""
"","","","","","","Vijenayake and",""
"","","","","","","Ramani Prabha",""
"","","","","","","Wijenayake,",""
"302","0.0006","The state","–","Full","First class","–","–"
"303","0.0003","The state","–","Full","First class","–","–"
"304","0.0011","The state","–","Full","First class","–","–"
"307","0.0041","The state","–","Full","First class","–","–"
"308","0.0019","The state","–","Full","First class","–","–"
"310","0.0011","The state","–","Full","First class","–","–"
"311","0.0007","The state","–","Full","First class","–","–"
"312","0.0004","The state","–","Full","First class","–","–"
"315","0.0078","The state","–","Full","First class","–","–"
"316","0.0036","The state","–","Full","First class","–","–"
"319","0.0022","The state","–","Full","First class","–","–"
"320","0.0011","The state","–","Full","First class","–","–"
"323","0.0068","The state","–","Full","First class","–","–"
"324","0.0073","The state","–","Full","First class","–","–"
"327","0.0016","The state","–","Full","First class","–","–"
"328","0.0034","The state","–","Full","First class","–","–"
"329","0.0015","The state","–","Full","First class","–","–"
"330","0.0017","The state","–","Full","First class","–","–"
