"epuy; I","epuy; II","epuy; III"
"Uj;jg;gl;l gphpTfs;","e
f
fTk;","cl;GFj;jTk;"
"6","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"23(1)","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"24(3)","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"24(4)","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"41(3)","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"67(2)","Mapuk;  &gh","ehd;F  ,yl;rk;  &gh"
"68(1)","E}W  &gh","Ik;gjhapuk;  &gh"
"68(2)","E}W  &gh","Ik;gjhapuk;  &gh"
"69","E}W  &gh","Ik;gjhapuk;  &gh"
"70","E}W  &gh","Ik;gjhapuk;  &gh"
"72","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"73(3)","E}W  &gh","Ik;gjhapuk;  &gh"
"74(2)","E}W  &gh","Ik;gjhapuk;  &gh"
"75(6)","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"80(1)","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"81(1)","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
"86(1)","Ke;E}W &gh","xU ,yl;rk; &gh"
"87(1)","Ke;E}W &gh","xU ,yl;rk; &gh"
"109(2)","Ik;gJ  &gh",",Ugj;ijahapuk;  &gh"
"110(2)","Ie;E}W  &gh",",uz;L  ,yl;rk;  &gh"
