"","THE Mediation Boards Commission, by virtue of the powers vested in it by Section 5(1) of The Mediation Boards Act, No.72",""
"of 1988, invites nominations for the appointment of Chairman and Mediators in respect of the following Panels of Mediation","",""
"Boards who are to vacate post in terms of Sections 6 to 11 in Schedule 1 of the Mediation Boards Act.","",""
"Administrative District","Mediation Board Areas","Date of Vacation of Post"
"Kandy","01. Delthota","2025.11.15"
"Mathale","01. Pallepola","2025.11.30"
"Galle","01. Elpitiya","2025.12.15"
"Mathara","01. Dikwella","2025.12.01"
"","02. Athuraliya","2025.10.15"
"Monaragala","01. Katharagama","2025.11.15"
"Batticaloa","01. Vellavely","2025.11.01"
"Trincomalee","01. Kuchchaveli","2025.11.15"
"Anuradhapura","01. Thambuththegama","2025.11.01"
"Kilinochchi","01. Poonakary","2025.10.15"
