"","(3)  වන  උපවගැන්තියට  ඉක්බිතිව  මා  පහතා  ෙැක්යේවන  අලුත්","","","","",""
"","උපවගැන්ති එකතු කිරීයේමාන් යේමායින් සංයේශෝධනය කරනු ලැයේබ්:-","","","","",""
"","","","","","","කිරීමා"
"20","“(4) (අ)  බැංකුකරුවකු","විසින්,","යේගැවීමා","සඳහා","යේචක්පතා",""
"","","ඉදිරිපත්  කිරීමා  යේවනුවට,  යේචක්පයේත්  නිශ්චිතාව","","","",""
"","","ෙක්වා ඇති ඉයේලක්යේ�ොනික යේගැවී� යේතාොරතුරු සමාඟ","","","",""
"","","එහි  අනුරූපයක්  ෆැැක්ස්  මාගින්  ස�යේප්‍රේෂණය  කිරීමා","","","",""
"","","මාගින් යේහෝ යේවනත් ඉයේලක්යේ�ොනික ක්‍රමායක් මාගින්","","","",""
"","","යේචක්පතා  අණකරන  ලෙ  බැංකුකරු  යේවතා,  යේගැවීමා","","","",""
"25","","","","","",""
"","","සඳහා ඉදිරිපත් කරනු ලැබිය හැකි ය.","","","",""
