"38 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.09.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.09.2019"
"11.","When  there  are  waste  disposal  facilities  in  licensed  place  garbage  shall  be  disposed  of  in  accordance  with  the"
"","conditions stipulated by the Health Officers or the Public Health Inspector with the approval of the Chairman of"
"","the Pradeshiya Sabha."
"12.","The  Licensee  shall  provide  every  reasonable  support  to  the  Chairman  or  the  Medical  Officer  of  Health  or  the"
"","Public  Health  Inspector  or  any  other  officer  authorized  by  the  Chairman  at  any  reasonable  time  to  inspect  the"
"","provisions of this by-law."
"13.","Any vegetable or fruit which is deemed unfit for human consumption by the Chairman or any authorized officer"
"","during the inspection of the premises may be destroyed without compensation if such officer forbids it."
"14.","The  Sinhala,  Tamil  and  English  copy  of  this  by-law  shall  be  exhibited  in  a  publicly  visible  place  within  the"
"","premises subject to a license under this by-law."
"15.","All licenses issued under this by-law shall be expired on the 31st of December of the issued year unless they have"
"","been previously revoked."
"16.","The Chairman shall notify by a notice ordering the Licensee of such premises in any premises where a permit has"
"","been issued, in violation of the provisions of this clause, or in compliance with the requirements of such place to"
"","do all that is necessary to bring the place up to the standards before the specified date. The time period provided"
"","by such advertisement shall be limited to a maximum of 30 days."
"17.","Any license holder who receives a notice as set out in section 16 of this article shall act in such manner as may be"
"","prescribed  by  such  license  prior  to  the  date  specified  by  such notice.  The  Chairman  shall have  the  authority  to"
"","extend  the  time  specified  in  such  notice  upon  a  reasonable  written  request  by  the  client.    The  period  must  not"
"","exceed fourteen days."
"18.","Any Licensee who has received a Notice as set forth in Section 16  hereof shall have cancelled the License issued"
"","to the relevant premises in the event of failure to act in the manner specified in that Notice or before the Extended"
"","Date shall be legalized."
"19.","Sub-section  122  (2)  of  the  Pradeshiya  Sabha  Act  No.  15  of  1987  provides  that  it  is  an  offense  to  maintain"
"","premises without a permit under this by-law or to violate any of the provisions of the by-law.  Be subject to a fine."
"","A  person  who has  been  convicted  of  an  offense  by  a  court of  competent  jurisdiction  over  that  offense has  been"
"","liable to a fine and Every day that the violation is continued after a written notice is given by the Chairman, the"
"","Medical  Officer  of  Health  or  the  Public  Health  Inspector,  with  the  attention  of  the  violator  continuing  for  the"
"","same, an additional fine of the said clause shall be liable."
"20.","In this by-law, unless it is otherwise necessary to another meaning for the words,"
"","The word ""Chairman"" to the person holding the office of Chairman of this Pradeshiya Sabha or the person, who"
"","performs the duties of the post;"
"","""Pradeshiya Sabha"" shall mean Weligepola Pradeshiya Sabha;"
"","shall  mean  the  person  holding  the  office  in  any  of  the  Divisional  Health  Medical 
""Health  Medical  Officer"""
"","Officers' Division in that period;"
"","""Public Health Inspector"" shall mean any person holding such office in any of the Public Health Inspectors area"
"","within the area of authority of the Public Health Inspector in that period;"
"","""Authorized Officer"" shall mean any officer duly authorized by the Chairman in writing in that period;"
"","""Licensee"" shall mean an entity or person or persons, who have obtained a license under this by-law;"
"","""Pesticides"" shall mean pesticides approved by the Registrar of Pesticides of Sri Lanka;"
"","Cleaning""  shall  mean  the  removal  of  soil,  dirty  food,  greece,  garbage    or  other  harmful  external  substances"
"","deposited;"
"","""Contaminants""  shall  mean  certain  substances  or  other  substances  which  may  affect  the  safety  or  suitability  of"
"","vegetables or fruits;"
