"74 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.09.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.09.2019"
"","(A)   A person licensed under this by-law shall display his name and a plaque labeled ""Licensed Beauty Center"""
"","and the current year's license in such a manner as to be easily visible in his premises."
"4.","Any person applying for a license under this by-law shall not issue a permit to the Chairman unless the premises"
"","are maintained in accordance with the following conditions:"
"4. (1)","The  Licensee  shall  confirm  that  a  person  with  a  Certificate  in  Beauty  Certificate  or  a  similar  vocational"
"","competency  certificate conducted by a training institute registered with the Tertiary and Vocational Education"
"","Commission is employed by the Licensee;"
"4. (2)","If  a  zoning has  been  done  or  industrial zones have  been  designated, the  construction  of  a  building  for  beauty"
"","centers should be carried out in accordance with that zoning;"
"4. (3)","The  construction  of  the  premises  shall  be  in  accordance  with  the  provisions  of  the  Urban  Development"
"","Authority Act or the Housing and Urban Development Ordinance and shall be of good construction and shall be"
"","of good quality;"
"4. (4)","Adequate  space  shall  be  provided  in  proportion  to  the number  of  clients  simultaneously  serving not less  than"
"","2.25 square meters of floor area separately for each client;"
"4. (5)","Any client who wishes to provide services shall have sufficient space to sit comfortably at least 1.5 meters away"
"","from where the client is already serving;"
"4. (6)","The wall height shall be not less than 2.7 m and the walls shall be erected with an approved permanent building"
"","material and painted in such a manner;"
"4. (7)","All sections thereof shall be erected with a ceiling or concrete plate and shall be at least 2.7 m above the ground"
"","level;"
"","4. (8)   When  operating  a  beauty  center,  every  room  should  have  openable  windows,  and  the  floor  area  should  be"
"","sufficiently illuminated, and when opened, the area of the window windows should be one-seventh of the floor"
"","area of the room. When considering both door windows, the area of the window panels should be at least one-"
"","third of the floor area of the room and the area of the room when opening both doors. When adequate light and"
"","ventilation are provided artificially, it is legal to consider the above requirement fulfilled;"
"4. (9)","Drinking water shall be adequately supplied for the use of the premises and shall be stored in containers which"
"","meet the required standards;"
