"32 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.09.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.09.2019"
"17.","Unless otherwise required in this by-law,"
"","""Chairman""  shall  mean 
the  person  holding 
the  office  of 
the  Chairperson  of 
the  Pradeshiya  Sabha  or"
"","performing the functions of that office."
"","""Pradeshiya Sabha"" shall mean Weligepola Pradeshiya Sabha"
"","""Medical Officer of Health"" shall mean the person holding the office of any Medical Officer of Health in the"
"","area of the Divisional Council area."
"","""Public Health Inspector"" shall mean the person holding the office of any Public Health Inspector in the area"
"","of the Pradeshiya Sabha."
"","""Authorized officer"" shall mean any officer duly authorized by the President in writing,"
"","""Licensee"" shall mean an entity / person or persons licensed under this by-law;"
"","""Pesticides"" shall mean pesticides approved by the Registrar of Pesticides of Sri Lanka,"
"","""Cleaning""  shall  mean  the  removal  of  soil,  accumulated  food  particles,  dirt,  grease  or  any  other  harmful"
"","external substance,"
"","""Biological"" shall mean any biological, chemical, alien substance or other substance which may be harmful to"
"","the safety or appropriateness of food;"
"","""Combustion"" shall mean the entry of a combustible substance into a food or food environment,"
"","Whether chemical or physical means reduce the amount of microorganisms in the environment to a level that"
"","does not reduce the safety or appropriateness of food by ""disinfectants"";"
"","""Food  hygiene""  shall  mean  all  conditions,  measures  and  practices  necessary 
to  ensure 
the  safety  and"
"","appropriateness of food at all times in the food chain;"
"","Any  biological,  chemical  or  physiological  agents  or  conditions  that  may  be  related  to  food,  including  the"
"","possibility of adverse health effects from ""hazards"";"
"","""Food user"" shall mean any person who works directly on food, food utensils and tools or on the surface where"
"","food is touched."
"","""Food  Safety""  shall mean  the responsibility  of  the  consumer  to  avoid  any harm  when  preparing,  processing,"
"","manufacturing, storing, distributing, transporting or consuming food."
"","""Drinking  water""  shall  mean  water  that  is  not  sufficiently  contaminated  with  bacteria  or  chemicals  to  meet"
"","national standards, which are not sufficient to cause disease or adverse physical effects;"
"","""Food""  shall  mean any  item imported, manufactured,  sold, sold  or represented  for the use  of  human  food  or"
"","beverages, and any goods or materials commonly taken or used in the composition or preparation of food. ,"
"","""Reception  Halls""  shall  mean  any  wedding,  entertainment,  celebratory  event,  occasional  venue  for  any"
"","education, discussion or lecture, with meals or meals provided on an order;"
"","""Reasonable Time"" shall mean the time for  the licensed work or any related work."
"18.","In the event of any inconsistency between the Sinhala, Tamil and English texts of this By-Law, the Sinhala text"
