"","For  what  Duty","Payable  to","Payable","Amount"
"","","whom","by  whom","(Rs.)"
"1","Entering  a  notice","Registrar","Applicant",""
"","of  marriage  at  his","","",""
"","office  or  at  any","","",""
"","other  place","","","100.00"
"2","Entering  a  notice","Additional","Applicant",""
"","of  marriage  at  his","District","",""
"","office  or  at  any","Registrar  or","",""
"","other  place","District","",""
"","","Registrar","","100.00"
"3","Issuing  Registrar’s","Registrar","Parties  to",""
"","certificate  on  a  notice","","marriage",""
"","of  marriage","","","100.00"
"4","Issuing  Registrar’s","Additional","Parties  to",""
"","certificate  on  a  notice","District","marriage",""
"","of  marriage","Registrar  or","",""
"","","District","",""
"","","Registrar","","100.00"
"5","Solemnising","Registrar","Parties  to",""
"","marriage  in  his","","marriage",""
"","office","","","750.00"
