"section","section  of  the  principal","Date  of"
"of  this  Act","enactment","operation"
"3","1 0","01.04.2021"
"7","1 8","01.04.2021"
"8","1 9","01.04.2018"
"9","4 6","01.04.2021"
"1 0","5 4","01.04.2018"
"1 2","6 9","01.04.2018"
"1 3","7 2","01.04.2018"
"1 4","7 3","01.04.2018"
"2 0","9 0","01.04.2021"
"2 9","139","01.04.2023"
"35(2)","195","01.04.2020"
"36(1)  and  (7)","subparagraph  (1C)  of",""
"","paragraph  1  and  paragraph  11",""
"","of  the  First  Schedule","01.04.2023"
"38(6)  and  (7)","paragraph  (u)  and  (w)  of  the",""
"","Third  Schedule","31.03.2023"
"39(1)","subparagraph  (e)  of  paragraph",""
"","(1)  of  the  Fifth  Schedule","01.04.2021"
