"I","II","III"
"Section  of","Provsision","Amount"
"Act","","of  fine"
"","","Rs.  c."
"123  (2)","Driver  under  the  age",""
"","of  18  years  old","5000.00"
"140","Speeding","1000.00"
"148","Rules  of  the  road","500.00"
"152","Position 
of 
driver",""
"","when 
driving",""
"","motor  vehicle","100.00"
"153","Signals  by  drivers",""
"","when  driving  &  c.","500.00"
"154","Reversing  of  motor",""
"","vehicles","20.00"
"155","Sound 
or 
light",""
"","warnings","100.00"
"156","The 
riding 
or",""
"","permitting 
the",""
