"8","cd;sl  fmd,sia  fldñIka  iNdj","wdKavql%u  jHjia:dfõ","jevigyk  01-","","",""
"","","XVIIIw  jk  mßÉfþoh","fufyhqï  jevigyk","8""100""000","-","8""100""000"
"10","w,a,ia fyda ¥IK fpdaokd","2023 wxl 9 ork","jevigyk  01-","","",""
"","úu¾Yk  fldñIka  iNdj","¥IK  úfrdaë  mk;","fufyhqï  jevigyk","4""740""000          -","","4""740""000"
"16","md¾,sfïka;=j","wdKavql%u  jHjia:dfõ","jevigyk  01-","","",""
"","","65  jk  jHjia:dj","fufyhqï  jevigyk","1""500""000","-","1""500""000"
"20","ue;sjrK  fldñIka  iNdj","wdKavql%u  jHjia:dfõ","jevigyk  01-","","",""
"","","103  jk  jHjia:dj","fufyhqï  jevigyk","5""940""000","-","5""940""000"
"21","cd;sl  ú.Kk","wdKavql%u  jHjia:dfõ","jevigyk  01-","","",""
"","ld¾hd,h","153  jk  jHjia:dj","fufyhqï  jevigyk","1""700""000","-","1""700""000"
"22","mßmd,k  lghq;=  ms<sn|","wdKavql%u  jHjia:dfõ","jevigyk  01-","","",""
"","md¾,sfïka;=  flduidßia","156  jk  jHjia:dj","fufyhqï  jevigyk","1""620""000","-","1""620""000"
"","ld¾hd,h","","","","",""
"111","fi!LH  wud;HdxYh","^105 jk wêldrh jQ&","jevigyk  01-","","",""
"","","ffjoH  wd{dmk;","fufyhqï  jevigyk","2""000","-","2""000"
