"76 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"18.","Where a  beauty  center has  been  issued  under  this  by-law,  a  licensee  shall  be  required to  comply  with all  the"
"","requirements to make the place in accordance with the relevant regulations before the date specified in the event"
"","of violation of any of the provisions of this by-law. The licensee Information should be handed over to be made."
"","The maximum period of notice from such advertisement shall not exceed 30 days."
"19.","Any licensee who has received a notice of the type referred to in Section 18 hereof shall act in accordance with"
"","the notice as set forth in that notice. The Chairperson shall be entitled to extend the specified period of notice of"
"","such notice upon a reasonable written request by the Licensee. However, the extension period should not exceed"
"","14 days."
"20.","In the event that any licensee who has received an advertisement of the type referred to in paragraph 18 hereof"
"","has failed to act in the manner specified in that notice or before the date of such extension, the chairman shall"
"","revoke the license issued to the relevant place. Must be legal."
"21.","Any  licensee,  except  as  authorized  by  the  Chairman,  the  Medical  Officer  of  Health  or  the  Public  Health"
"","Inspector or any other authority authorized by the Chairman, to obtain any food, liquid or any other substance in"
"","the premises for the purpose of payment of the prescribed value. Refuse to  buy  or accept the offer should not"
"","interfere in."
"22.","The Licensee shall give every reasonable support to the Chairman, the Medical Officer of Health or the Public"
"","Health Inspector or any other officer authorized by the Chairman, at any reasonable time to check the terms of"
"","this by-law."
"23.","It is an offense to maintain premises without a license to be obtained under this by-law or in violation of any of"
"","the provisions of the by-law. (2) Subject to a fine referred to in Subsection (2). When a person who has been"
"","convicted  of  an  offense  continues  to  pursue  such  violation or  violation, a  written notice  shall  be  given  by  the"
"","Chairman, the Medical Officer of Health or the Public Health Inspector. Each day the violation continues after"
"","receiving Promotion are subject to the above said article and an additional fine."
"24.","Unless otherwise required in this By-Law,"
"","""Chairman"" shall mean  the person holding the office of the Chairman of the Pradeshiya Sabha at the moment"
