"94 A","IV(අ)  ෙක(cid:675)ටස - (cid:636) ලංකා (cid:541)ජාතා(cid:486)(cid:437)ක සමාජවා(cid:463) ජනරජෙ(cid:591) අ(cid:431) (cid:618)ෙශෂ ගැස(cid:376) ප(cid:436)ය - 2019.12.05"
"","PART  IV(A) – GAZETTE EXTRAORDINARY OF THE DEMOCRATIC SOCIALIST REPUBLIC OF SRI LANKA – 05.12.2019"
"33.","In the event of the operation of any retail outlet where a license has been issued under this by-law, contrary to"
"","the provisions of any of the provisions of this by-law, the Licensee shall be required to comply  with all such"
"","requirements before the specified date. A notice was handed over to the licensee by the Chairman Drink should"
"","be made. The maximum period of notice from such advertisement shall not exceed 30 days."
"34.","Any licensee who has received a notice of the type referred to in paragraph 33 hereof shall act in accordance"
"","with the notice as set forth in that notice. The Chairman shall have the authority to extend the specified time"
"","period of such notice upon a reasonable written request by the licensee. However, the extension period should"
"","not exceed 14 days."
"35.","In  the  event  that  any  licensee  who  has  received  a  notice  of  the  type  referred  to  in  paragraph  33  hereof  has"
"","failed to act in the manner specified in that notice or before the date on which it has been extended, the license"
"","shall be revoked by the chairman. Must be legal."
"36.","It is an offense to maintain premises without a license to be obtained under this by-law or to violate any of the"
"","provisions of the by-law. (2) Subject to a fine referred to in subsection (2). A written notice shall be issued by"
"","the  Chairman  or  the  Medical  Officer  of  Health  or  the  Public  Health  Inspector  with  a  view  to  the  continued"
"","violation of such breach or breach by a person who has been fined after being convicted of an offense. After"
"","receiving the violation, continue The date of the above should be subject to an additional fine of said section."
"37.","Unless otherwise required in this by-law."
