"","Column  I","Column  II","Column  III"
"","Names  of","Sections  or  parts","Applicable"
"","Enactment","to  be  amended","Amendment"
"1.","Inland  Revenue","Sections  166,167,","The  Inland  Revenue"
"","Act,  No.  10  of","168,  169","Act  is  hereby  amended"
"","2006","","by  the  repeal  of"
"","","","section  166,  section"
"","","","167,  section  168  and"
"","","","section169."
"2.","Value  Added  Tax","Sections  35,","The  Value  Added  Tax"
"","Act,  No.  14  of","35(1A),  36","Act  is  hereby  amended"
"","2002","","by  the  repeal  of"
"","","","section  35,  section"
"","","","35(1A)  and  section  36."
"3.","Nation  Building","Section  8","Section  8  of  the  Nation"
"","Tax  Act,  No.  9  of","","Building  Tax  Act  is"
"","2009","","hereby  amended  by"
"","","","the  omission  therefrom"
"","","","of  the  words  and"
"","","","figures  “Chapter  XXIII"
"","","","relating  to  Appeals”."
"4.","Economic  Service","Section  11","Section  11  of  the"
"","Charge  Act,  No.","","Economic  Service"
"","13  of  2006","","Charge  Act  is  hereby"
"","","","amended  by  the"
"","","","omission  therefrom  of"
"","","","the  word  “Appeals”."
