"Head","283","Department  of  Forests  Conservation","","",""
"","","Programme  01","Operational  Activities","1,486,000,000","866,000,000"
"Head","284","Department  of  Wildlife  Conservation","","",""
"","","Programme  01","Operational  Activities","1,862,000,000","593,000,000"
"Head","294","Department  of  National  Zoological  Gardens","","",""
"5","","Programme  02","Development  Activities","527,000,000","235,000,000"
"","","Ministry  of  Water  Supply","","",""
"","","Recurrent","363,475,000","",""
"","","Capital","32,150,500,000","",""
"","Made  up  as  follows  :-","","","",""
"10","","","","",""
"Head","166","Minister  of  Water  Supply","","",""
"","","Programme  01","Operational  Activities","363,475,000","31,500,000"
"","","Programme  02","Development  Activities","-","32,119,000,000"
"","","","State  Ministry  of    Rural  and  Divisional  Drinking  Water  Supply","",""
"","","Projects  Development","","",""
"15","","","","",""
"","","Recurrent","327,165,000","",""
"","","Capital","1,812,450,000","",""
"","Made  up  as  follows  :-","","","",""
"Head","433","","State  Minister  of  Rural  and  Divisional  Drinking  Water  Supply","",""
"20","","Projects  Development","","",""
"","","Programme  01","Operational  Activities","54,980,000","5,200,000"
"","","Programme  02","Development  Activities","-","600,000,000"
