"Y
S
¾I","","m
q","krdj¾;k","u",",Ok"
"wxlh","","","úhoï","","úhoï"
"","","","re'","","re'"
"","my;  mßÈ  úhoï  ieliS  we;  :—","","","",""
"YS¾I  122","ckudOH  yd  m%jD;a;s  wud;Hjrhd","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","181,750,000","","31,750,000"
"","jevigyk  02  ixj¾Ok  jevigyk","","223,000,000","","310,500,000"
"YS¾I 210","m%jD;a;s  fomd¾;fïka;=j","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","176,200,000","","9,350,000"
"YS¾I 211","rcfha  uqøK  fomd¾;fïka;=j","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","1,619,375,000","","166,600,000"
"","bÈlsÍï""  bxðfkare  fiajd""  ksjdi  iy  fmdÿ  myiqlï  wud;HdxYh","","","",""
"","735,417,000
mqkrdj¾;k","","","",""
"","2,850,000,000
uQ,Ok","","","",""
"","my;  mßÈ  úhoï  ieliS  we;  :—","","","",""
"YS¾I 123","bÈlsÍï""  bxðfkare  fiajd""  ksjdi  iy  fmdÿ  myiqlï  wud;Hjrhd","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","201,352,000","","9,745,000"
"","jevigyk  02  ixj¾Ok  jevigyk","","95,600,000","","2,479,135,000"
"YS¾I 309","f.dvke.s,s  fomd¾;fïka;=j","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","71,810,000","","27,650,000"
