"16","md¾,sfïka;=j","wdKavql%u  jHjia:dfõ  65","jevigyk  01-","","",""
"","","jk  jHjia:dj","fufyhqï  jevigyk","1""237""000","-","1""237""000"
"20","ue;sjrK  fomd¾;fïka;=j","wdKavql%u  jHjia:dfõ  103","jevigyk  01-","","",""
"","","jk  jHjia:dj","fufyhqï  jevigyk","3""098""000","-","3""098""000"
"21","ú.Kldêm;s","wdKavql%u  jHjia:dfõ  153","jevigyk  01-","","",""
"","","jk  jHjia:dj","fufyhqï  jevigyk","780""000","-","780""000"
"22","mßmd,k  lghq;=  ms<sn|","wdKavql%u  jHjia:dfõ  156","jevigyk  01-","","",""
"","md¾,sfïka;=  flduidßia","jk  jHjia:dj","fufyhqï  jevigyk","","",""
"","ld¾hd,h","","","780""000","-","780""000"
"111","fi!LH  wud;HdxYh","ffjoH  wd{d  mk;","jevigyk  01-","","",""
"","","^105  jk  wêldrh&","fufyhqï  jevigyk","2""000","-","2""000"
"239","úfoaY  iïm;a","cd;sl rdcH iNdfõ 1978","jevigyk  01-","","",""
"","fomd¾;fïka;=j","wxl 10  ork fn%âkajqâia","fufyhqï  jevigyk","133""159""000  521""000""000","","654""159""000"
"","",".súiqu  ^úfYaI  úêúOdk&","","","",""
"","","mk;"" 1966 wxl 21 ork","","","",""
"","","wdishdkq  ixj¾Ok  nexl=","","","",""
"","",".súiqu  ^wkqu;  lsÍu&  mk;","","","",""
"249","NdKavd.dr  fufyhqï","1957 wxl 29 ork úfoaYSh","jevigyk  01-","","",""
"","fomd¾;fïka;=j","Kh  mkf;a  2  j.ka;sh","fufyhqï  jevigyk","437""800""000""000 717""000""000""000","","1""154""800""000""000"
"","","^w& iy ^we& fþo""","","","",""
"","","^417  jk  wêldrh  jQ&  foaYSh","","","",""
"","","NdKavd.dr ì,am;a wd{d","","","",""
"","","mk;","","","",""
