"Y
S
¾I","","","","m
q","krdj¾;k","u",",Ok"
"wxlh","","","","","úhoï","","úhoï"
"","","","","","re'","","re'"
"","","<ud ixj¾Ok yd ldka;d lghq;= wud;HdxYh","","","","",""
"","","mqkrdj¾;k","795,365,000","","","",""
"","","uQ,Ok","251,685,000","","","",""
"","","my;  mßÈ  úhoï  ieliS  we;  :—","","","","",""
"","YS¾I 120","<ud ixj¾Ok yd ldka;d lghq;= wud;Hjrhd","","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","","315,290,000","","123,000,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","","300,690,000","","115,860,000"
"","YS¾I  217","mßjdi  yd  <udrlaIl  fiajd  fomd¾;fïka;=j","","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","","16,550,000","","675,000"
"","","jevigyk  02  ixj¾Ok  jevigyk","","","162,835,000","","12,150,000"
"","","rdcH  mßmd,k  yd  iajfoaY  lghq;=  wud;HdxYh","","","","",""
"","","mqkrdj¾;k","130,500,000,000","","","",""
"","","uQ,Ok","2,385,000,000","","","",""
"","","my;  mßÈ  úhoï  ieliS  we;  :—","","","","",""
"","YS¾I 121","rdcH  mßmd,k  yd  iajfoaY  lghq;=  wud;Hjrhd","","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","","533,650,000","","525,250,000"
"","YS¾I 253","úY%du  jegqma  fomd¾;fïka;=j","","","","",""
"","","jevigyk  01  fufyhqï  jevigyk","","","119,246,100,000","","31,900,000"
