"","%d;W  tUlq;fSf;F  Nkw;glhjit","",""
"","Nehahspia 
vLj;Jr; 
nry;Yk; 
thfdk;","",""
"8703.60.12","(mk;gpAyhd;];)  kw;Wk; 
rpiwr;rhiy 
Ntd;fs;>","&gh  4.0  kpy;ypad;","0%"
"","%d;W  tUlq;fSf;F  Nkw;gl;lit","",""
"8703.60.18","gpw>  %d;W  tUlq;fSf;F  Nkw;glhjit","&gh  4.0  kpy;ypad;","80%"
"8703.60.19","gpw>  %d;W  tUlq;fSf;F  Nkw;gl;lit","&gh  4.0  kpy;ypad;","80%"
"","1>000  rp.rp  f;F  Nkw;gl;lhj    cUisf;  nfhs;stpidf;","",""
"","nfhz;l>];Nu\d;  ntfd;  kw;Wk;  ge;jaf;  fhu;fs;","",""
"","mlq;fyhd  Nkhl;lhu;  fhu;fs;:","",""
"8703.60.21","Nfhfhu;l;    %d;W  tUlq;fSf;F  Nkw;glhjit","&gh  4.0  kpy;ypad;","0%"
"8703.60.22","Nfh  fhu;l;];  %d;W  tUlq;fSf;F  Nkw;gl;lit","&gh  4.0  kpy;ypad;","0%"
"","300  rp.rp.f;F  Nkw;glhj  cUisf;  nfhs;sstpidf;","",""
"8703.60.23","nfhz;l 
ehd;F 
rf;fu 
thfdq;fs;
;> 
%d;W","&gh  4.0  kpy;ypad;","0%"
"","tUlq;fSf;F  Nkw;glhjit","",""
"","300  rp.rp.f;F  Nkw;glhj  cUisf;  nfhs;sstpidf;","",""
"8703.60.24","nfhz;l 
ehd;F 
rf;fu 
thfdq;fs;
;> 
%d;W","&gh  4.0  kpy;ypad;","0%"
"","tUlq;fSf;F  Nkw;gl;lit","",""
"","Xy; 
Nlwapd; 
ntfpfps; 
%d;W 
tUlq;fSf;F","",""
"8703.60.25","","&gh  4.0  kpy;ypad;","0%"
"","Nkw;glhjit","",""
"","Xy; 
Nlwapd; 
ntfpfps; 
%d;W 
tUlq;fSf;F","",""
"8703.60.26","","&gh  4.0  kpy;ypad;","0%"
"","Nkw;gl;lit","",""
"8703.60.28","gpw>  %d;W  tUlq;fSf;F  Nkw;glhjit","&gh  4.0  kpy;ypad;","80%"
"8703.60.29","gpw>  %d;W  tUlq;fSf;F  Nkw;gl;lit","&gh  4.0  kpy;ypad;","80%"
"","1>000  rp.rp  f;F  Nkw;gl;Lk;  1>500  rp.rp  f;F  Nkw;glhj","",""
"","cUisf;  nfhs;stpidf;  nfhz;l  thfdq;fs;","",""
"","Nehahspia 
vLj;Jr; 
nry;Yk; 
thfdk;","",""
