"1
Cannabinol  and","6,6,9-Trimethyl-3-"
"cannabinol","pentyl-benzo[c]chromen-1-ol"
"derivatives  (CBN)",""
"2
Cathinone","(–)-(S)-2-aminopropiophenone"
"3 DET","3-[2-(diethylamino)ethyl]indole"
"4 DMHP","3-(1,2-dimethylheptyl)-7,8,9,10-"
"","tetrahydro-6,6,9-trimethyl-6H-"
"","dibenzo[b,d]pyran- 1-ol"
"5 DMT","3-[2-(dimethylamino)ethyl]indole"
"6 DMA","(±)-2,5-dimethoxy-α-"
"(2,5-Dimethoxy","methylphenethylamine"
"amphetamine)",""
"7 DOET","(±)-4-ethyl-2,5-dimethoxy-α-"
"","methylphenethylamine"
"8 DOB","(±)-4-bromo-2,5-"
"(Brolamfetamine)","dimethoxy-α-"
"","methylphenethylamine"
"9 DOC","4-Chloro-2,5-"
"","dimethoxyamfetamine"
