"Serial","Chainage  At","Type","River/Stream/Road Name","Length of","structure Width"
"No.","Km","","","structure","diameter of"
"","","","","(m)","the structure"
"","","","","","(m)"
"87","21+672-","Viaduct","","906.00",""
"","22+578","","","",""
"88","22+170","-","Box culvert-Kadawatha","",""
"","","","Ragama Road (-0+027)","14.60","2(4.00x3.00)"
"89","22+170","-","Box culvert -Kadawatha","14.60","3.20x2.6"
"","","","Ragama Road (-0+039)","",""
"90","22+819","Overpass","Pahalawatta Road","52.00","9.00"
"91","22+957","Box culvert","Main Line","54.95","3.00x2.10"
"92","23+007","Box culvert","Main Line","54.86","2.00x2.10"
"93","23+155","Overpass","St. Anthony's Road","59.00","9.00"
"94","23+398-","Viaduct","","4722.00",""
"","28+120","","","",""
"95","23+519.4","-","Box culvert  -Access Road","10.825","1.20x0.80"
"","","","(-0+040)","",""
"96","23+519.4","-","Box culvert  -Access Road","10.76","1.80x1.00"
"","","","(0+022)","",""
"97","23+519.4","-","Box culvert  -Access Road","10.60","1.00x1.00"
"","","","(0+024)","",""
"98","23+532","-","Box culvert -Frontage Road","6.182","1.00x0.80"
"","","","LHS","",""
"99","26+247","-","Box  culvert-Access  Road","10.825","1.20x0.8"
"100","26+252","-","Box culvert - Galudapita Road","13.60","1.00x0.80"
"","","","LHS (1+643)","",""
"101","26+457","-","Box culvert-Galudapita Road","12.97","1.20x0.80"
"","","","LHS  (1+445)","",""
"102","26+472","-","Box culvert-Galudapita Road","11.67","1.50x1.00"
"","","","RHS (1+425)","",""
"103","26+661","-","Box culvert-Milk Factory Road","16.294","1.00x0.80"
"","","","LHS  (1+125)","",""
"104","26+702","-","Box culvert-Milk Factory Road","5.60","1.00x0.80"
"","","","LHS  (0+795)","",""
"105","27+207","-","Box culvert-Access Road","9.043","1.00x0.80"
"106","27+307","-","Box culvert-Alternative Access","17.226","1.50x1.50"
"","","","Road  (0+400)","",""
"107","27+497","-","Box culvert-Alternative Access","20.095","1.50x1.00"
"","","","Road  (0+793)","",""
"108","27+557","-","Box culvert-Alternative Access","17.129","1.50x1.50"
"","","","road (0+613)","",""
"109","27+792","-","Box culvert-Keravalapitiya","10.70","2/1.125x1.00"
"","","","Interchange Ramp","",""
"","","","G  (GK  0+705)","",""
"110","27+865","-","Box culvert-Dutch Canal","6.80","2.00x2.00"
"","","","Operational and Maintenance","",""
"","","","Road (IK 0+360)","",""
"111","27+969","-","Box culvert-Kerawalapitiya","42.88","2/2.50x2.00"
"","","","Interchange Ramp G (FK 0+150)","",""
"112","27+972","-","Box culvert-Dutch Canal","6.93","2/2.50x2.00"
"","","","Operational and Maintenance","",""
"","","","Road (FK 0+160)","",""
