"Serial","Chainage At","Type","River/Stream/Road Name","Length of","Width /"
"No.","Km","","","structure","diameter  of"
"","","","","(m)","the  structure"
"","","","","","(m)"
"1","0+000","Pipe  culvert","Ramp 8","28.10","2 /  1.20"
"2","0+000","Pipe  culvert","Ramp 5","33.20","2 /  1.20"
"3","0+065","Pipe  culvert","","21.88","1 /  0.60"
"4","0+220","Pipe  culvert","Ramp 2","21.96","1 /  0.60"
"5","0+250","Pipe  culvert","Ramp 5","16.01","1 /  0.60"
"6","0+300","Pipe  culvert","Ramp 5","17.32","1 /  0.60"
"7","0+320","Box culvert","Ramp 4","27.70","4.50  (2  cells)"
"8","0+375","Pipe  culvert","","17.98","1 /  0.60"
"9","0+400","Box culvert","Ramp 3","26.30","4.50  (2  cells)"
"10","0+540","Pipe  culvert","","84.62","2 /  1.20"
"11","0+630","Railway overpass","Colombo-Avissawella railway","20.00","37.00"
"","","","line","",""
"12","0+655","Box culvert","","68.40","2.00  (1  cell)"
"13","0+839","Vehicular","Hospital road (at Malapalle)","37.40","10.90  (1  cell)"
"","","Underpass","","",""
"14","1+000","Box culvert","","44.00","2.00  (1  cell)"
"15","1+216","Vehicular","Kottawa-Athurugiriya road","42.00","10.90"
"","","Overpass","(at Rukmale)","",""
