"No.","Interchange","Km","Interchange m2","","","",""
"","","","","","Left","","Right"
"","","","","Type","Connecting to","Type","Connecting to"
"1","Kottawa","0+000","217,074","NH","Colombo","NH","Ratnapura"
"2","Athurugiriya","5+200","323,200","NH","Malambe","NH","Godagama"
"3","Kothalawala","9+900","","NH","Malambe","NH","Kaduwela"
"4","Kaduwela","11+680","112,277","NH","Colombo","NH","Hanwella"
"","","","","NH","Kelaniya","NH","Mudungoda"
"5","Kadawatha","19+230","80,572","NH","Colombo","NH","Kandy"
"6","Kadawatha","19+792","179,600","","","EXP","Kandy"
"","(System","","","","","","(Central"
"","Interchange)","","","","","","Expressway)"
"","","","","NH","Colombo","","Kandy"
"","","","","","(Colombo-Kandy","","(Colombo-Kandy"
"","","","","","road A001)","","road A 001)"
"7","Kerawalapitiya","27+887","284,130","EXP","Peliyagoda","EXP","Katunayake"
"","","","","","(Colombo-","","(Colombo-"
"","","","","","Katunayake","","Katunayake"
"","","","","","Expressway)","","Expressway)"
"","","","","PRDA","Kerawalapitiya","PRDA","Mahabage"
"","","","","","Town","",""
