"Serial","Chainage  At","Type","River/Stream/Road Name","Length of","Width"
"No.","Km","","","structure","diameter of"
"","","","","(m)","the structure"
"","","","","","(m)"
"56","15+211","Box culvert","","36.00","3.25 (1 cell)"
"57","15+477","Vehicular Overpass","Kiribathgoda-Biyagama road","45.00","22.10"
"58","15+606","Box culvert","","30.80","3.25  (1  cell)"
"59","15+656","Box culvert","","30.50","3.25  (2  cells)"
"60","15+746","Box culvert","","50.00","3.25  (1  cell)"
"61","16+061","Box culvert","","34.50","3.25  (1  cell)"
"62","16+256","Box culvert","","40.50","3.25  (1  cell)"
"63","16+735","Vehicular Overpass","Kadawatha to Siyambalape road","44.00","13.00"
"64","16+906-","Viaduct","","630.00",""
"","17+536","","","",""
"65","17+786","Box culvert","Kadawatha-Mawaramandiya road","50.00","13.00"
"","","","(B  169)","",""
"66","18+111-","Viaduct","","175.00",""
"","18+286","","","",""
"67","18+581","Vehicular Overpass","Kadawatha-Mawaramandiya road","42.00","10.00"
"68","18+627","Pipe  culvert","","17.68","1 /  0.60"
"69","18+656","Box culvert","","40.00","3.25  (1  cell)"
"70","18+923-","Viaduct","","322.00",""
"","19+245","","","",""
"71","19+245-","Viaduct","","587.00",""
"","19+832","","","",""
"72","19+737","-","Box culvert-Colombo  -Kandy","24.848","3(3.00x2.40)"
"","","","(A001)  Road  (0+143.5)","",""
"73","19+792","-","Box culvert-Kerawalapitiya","18.99","3/3.50x2.20"
"","","","Interchange Ramp F (FK 0+569)","",""
"74","19+872","-","Box culvert - Bandarawatta Road","12.05","3(3.25x2.70)"
"","","","(0+040)","",""
"75","19+972","-","Box culvert-Kerawalapitiya","23.40","2.50x2.00"
"","","","Interchange Ramp F (FK 0+403)","",""
"76","20+001","-","Box culvert - Kadawatha","9.431","1.00x1.50"
"","","","Interchange Access Road to","",""
"","","","Ramp E (0+180)","",""
"77","20+037","Overpass","Mudalige Mawatha to","131.00","9.90"
"","","","Seram Road","",""
"78","20+072","-","Box culvert-Kadawatha","13.626","1.00x1.50"
"","","","Interchange Access Road","",""
"","","","to Ramp  E (0+115)","",""
"79","20+077","-","Box culvert-Kerawalapitiya","12.16","2.50x2.00"
"","","","Interchange Ramp F (FK 0+270)","",""
"80","20+267","Box culvert","Main line","80.24","2.00x1.80"
"81","20+547","Overpass","Ganemulla -Kadawatha Road","70.70","18.10"
"82","20+947","-","Pipe culvert-frontage  Road","8.40","1.2"
"","","","LHS  (0+087)","",""
"83","20+952","Pipe  culvert","Main line","45.60","0.60"
"84","20+964","-","Pipe culvert-Access road to","8.09","0.60"
"","","","LHS from Frontage Road","",""
"","","","LHS  (0+092.5)","",""
"85","21+237","Overpass","Mangala Mawatha 7th Lane","45.00","10.90"
"86","21+467","Box culvert","Main Line","39.33","1.50x1.80"
