"Sections","Repeal","Insert"
"Amended","",""
"6","one  thousand  rupees","four  hundred  thousand  rupees"
"1 6","one  thousand  rupees","four  hundred  thousand  rupees"
"24(1)","five  hundred  rupees","two  hundred  thousand  rupees"
"25(3)","five  hundred  rupees","two  hundred  thousand  rupees"
"25(4)","five  hundred  rupees","two  hundred  thousand  rupees"
"41(3)","five  hundred  rupees","two  hundred  thousand  rupees"
"6 4","one  hundred  rupees","fifty  thousand  rupees"
"67(2)","one  thousand  rupees","four  hundred  thousand  rupees"
"68(1)","one  hundred  rupees","fifty  thousand  rupees"
"68(2)","one  hundred  rupees","fifty  thousand  rupees"
"6 9","one  hundred  rupees","fifty  thousand  rupees"
"7 0","one  thousand  rupees","four  hundred  thousand  rupees"
"7 2","five  hundred  rupees","two  hundred  thousand  rupees"
"73(3)","one  hundred  rupees","fifty  thousand  rupees"
"74(2)","one  hundred  rupees","fifty  thousand  rupees"
"75(1)","one  hundred  rupees","fifty  thousand  rupees"
"76(3)","one  thousand  rupees","four  hundred  thousand  rupees"
"77(6)","five  hundred  rupees","two  hundred  thousand  rupees"
"82(1)","five  hundred  rupees","two  hundred  thousand  rupees"
"83(1)","five  hundred  rupees","two  hundred  thousand  rupees"
"88(1)","three  hundred  rupees","one  hundred  thousand  rupees"
"89(1)","three  hundred  rupees","one  hundred  thousand  rupees"
"123(2)","five  hundred  rupees","two  hundred  thousand  rupees"
"Second","five  hundred  rupees","two  hundred  thousand  rupees"
"Schedule","",""
