"","Penal Code (Amendment)","","5"
"178","Refusing  to  sign  a
one  hundred","twenty  thousand",""
"","statement  made  to
rupees","rupees",""
"","a  public  servant","",""
"","when  legally","",""
"","required  to  do  so","",""
"180","Giving  false
one  thousand","one  hundred",""
"","information  to  a
rupees","thousand",""
"","public  servant  in","rupees",""
"","order  to  cause  him","",""
"","to  use  his  lawful","",""
"","power  to  the  injury","",""
"","or  annoyance  of","",""
"","any  person","",""
"181","Resistance  to  the
one  hundred","fifty  thousand",""
"","taking  of  property
rupees","rupees",""
"","by  the  lawful","",""
"","authority  of  a","",""
"","public  servant","",""
"182","with
Obstructing","with  simple",""
"","imprisonment
sale  of  property","imprisonment",""
"","of  either
offered  for  sale","for  a  term",""
"","description
by  authority  of  a","which  may",""
"","for  a  term
public  servant","extend  to  six",""
"","which  may","months,  or",""
"","extend  to","with  fine",""
"","one  month,","which  may",""
"","or  with  fine","extend  to",""
"","which  may","twenty",""
"","extend  to","thousand",""
"","one  hundred","rupees",""
"","rupees","",""
"183","with
Obstructing  public","with  simple",""
"","imprisonment
servant  in  discharge","imprisonment",""
"","of  either
of  his  public","for  a  term",""
"","description","which  may",""
"","functions","",""
"","for  a  term","extend  to  six",""
"","which  may","months,  or",""
"","extend  to","with  fine",""
"","three","",""
"","","which  may",""
"","months,  or","",""
"","","extend  to",""
"","with  fine","",""
"","","twenty  five",""
"","which  may","",""
"","","thousand",""
"","extend  to","",""
"","","rupees",""
"","one  hundred","",""
"","rupees","",""
