"Y
S
¾I","","","m
q","krdj¾;k","u",",Ok","10"
"wxlh","","","","úhoï","","úhoï",""
"","","","","re'","","re'",""
"","nqoaO Ydik wud;HdxYh","","","","","",""
"","mqkrdj¾;k","902,114,000","","","","",""
"","uQ,Ok","967,860,000","","","","",""
"my;  mßÈ  úhoï  ieliS  we;  :—","","","","","","",""
"YS¾I 101","nqoaO  Ydik  wud;Hjrhd","","","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","","124,499,000","","6,810,000",""
"","jevigyk  02  ixj¾Ok  jevigyk","","","313,795,000","","910,600,000",""
"YS¾I 201","fn!oaO  lghq;=  fomd¾;fïka;=j","","","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","","54,529,000","","13,450,000","2016 wxl 24 ork úi¾ck mk;"
"","jevigyk  02  ixj¾Ok  jevigyk","","","409,291,000","","37,000,000",""
"","uqo,a  wud;HdxYh","","","","","",""
"","mqkrdj¾;k","224,125,646,000","","","","",""
"","uQ,Ok","312,585,805,000","","","","",""
"my;  mßÈ  úhoï  ieliS  we;  :—","","","","","","",""
"YS¾I 102","uqo,a  wud;Hjrhd","","","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","","803,270,000","","699,450,000",""
"","jevigyk  02  ixj¾Ok  jevigyk","","","—","","3,591,530,000",""
"YS¾I 238","rdcH  uQ,H  m%;sm;a;s  fomd¾;fïka;=j","","","","","",""
"","jevigyk  01  fufyhqï  jevigyk","","","3,724,091,000","","3,600,000",""
