"","","","","",",eîïj,","i
ud","i","ud"
"","","","","","wju iSud","","",""
"","","","","re'","re'","re'","","re'"
"1","w;s.re  ckdêm;s","00101","rcfha  ks,Odßkag  w;a;sldrï","32""000""000","18""000""000","100""000""000","","-"
"2","w.%dud;H ld¾hd,h","00201","rcfha  ks,Odßkag  w;a;sldrï","16""000""000","9""000""000","45""000""000","","-"
"3","WmßudêlrKj,  úksYaphldrjre","00401","rcfha  ks,Odßkag  w;a;sldrï","3""200""000","500""000","5""000""000","","-"
"4","wud;H uKav, ld¾hd,h","00501","rcfha  ks,Odßkag  w;a;sldrï","3""500""000","2""300""000","25""000""000","","-"
"5","rdcH fiajd fldñIka iNdj","00601","rcfha  ks,Odßkag  w;a;sldrï","8""000""000","3""500""000","35""000""000","","-"
"6","wêlrK  fiajd  fldñIka  iNdj","00701","rcfha  ks,Odßkag  w;a;sldrï","3""300""000","1""400""000","20""000""000","","-"
"7","cd;sl  fmd,sia  fldñIka  iNdj","00801","rcfha  ks,Odßkag  w;a;sldrï","2""500""000","1""300""000","7""000""000","","-"
"8","mßmd,k wNshdpk úksYaph wêldrh","00901","rcfha  ks,Odßkag  w;a;sldrï","1""300""000","400""000","2""500""000","","-"
