"Serial","Chainage  at","Type","River/Stream/","Length of","Width/diameter"
"No.","km","Road Name","","structure","of the structure"
"","","","","( m)","(m)"
"60","192 + 776","Box culvert","","35'484","4'900"
"61","193 + 011","Box culvert","","61'069","3'900"
"62","193 + 126","Underpass","","33'578","9'300"
"63","193 + 222","Box culvert","","31'955","2'600"
"64","193 + 433","Box culvert","","37'122","3'700"
"65","193 + 625","Underpass","","26'961","7'000"
"66","193 + 961","Box culvert","Irrigation Culvert","59'410","2'00X2'00"
"","","","Drainage Culvert","55'420","3/3'00X3'00"
"67","194 +041","Box culvert","Drainage Culvert","48'460","2'00X2'00"
"68","194 +156","Underpass","Village Road","33'260","5'00X3'50"
"69","194 +256","Box culvert","Irrigation Culvert","30'160","2'00X2'00"
"70","194 +356","Box culvert","Drainage Culvert","55'070","2'00X2'00"
"71","194 +479","Box culvert","Irrigation Culvert","34'460","2'00X2'00"
"","","(Skew)","","",""
"72","194 +573","Underpass","Village Road","35'260","3'00X2'50"
"","","(Skew)","","",""
"73","194+685","Underpass","Village Road with","35'260","10'00X6'00"
"","","","Irrigation crossing","",""
"74","194+866","Box culvert=","Irrigation Culvert","38'940","2'00X2'00"
"75","194+919","Box culvert","Irrigation Culvert","38'580","2'00X2'00"
"76","195+039","Underpass","Village road with","42'580","5'00X5'00"
"","","(Skew)","irrigation crossing","",""
"77","195+156","Box culvert","Drainage Culvert","51'700","2'00X2'00"
"78","195+223","Box culvert","Drainage Culvert","57'980","2'00X2'00"
"79","195+259","Box culvert","Drainage Culvert","61'580","3/5'00X3'00"
"","","(Skew)","","",""
"80","195+456","Box culvert","Drainage Culvert","69'180","2'00X2'00"
"81","195+804","Box culvert","Drainage Culvert","77'560","2'00X2'00"
"","","(Skew)","","",""
"82","195+982","Box culvert","Drainage Culvert","10'000","2'50X2'50"
"","","(Extension of)","(under the main","",""
"","","existing culvert)        canal)","","",""
"83","196+104","Box culvert","Drainage Culvert","79'340","2'00X2'00"
"","","(Skew)","","",""
"84","196+909","Box culvert","Drainage Culvert","57'320","2'00X2'00"
"85","197+047","Box culvert","Drainage Culvert","56'880","2'00X2'00"
"86","197+464","Box culvert","Drainage Culvert","61'580","2/2'00X2'00"
"87","199+715","Box culvert","Irrigation Canal","88'480","2'00X2'00"
"88","199+781","Box culvert","Drainage Culvert","86'280","4'00X3'00"
"89","200+041","Box culvert","Irrigation Canal","67'740","2'00X2'00"
"90","200+275","Box culvert","Drainage Culvert","35'030","2'00X2'00"
"","Ramp A (Barawakumbuka Interchange)","","","",""
"91","0+100","Box culvert","","17'657","9'200"
"","Ramp B (Barawakumbuka Interchange)","","","",""
"92","0+422","Box culvert","","17'248","13'950"
"93","0+600","Box culvert","","21'204","13'500"
