"Serial","Chainage  at","Type","River/Stream/","Length of","Width/Diameter"
"No.","km","","Road Name","structure","of the structure"
"","","","","( m)","(m)"
"","Ramp C (Barawakumbuka Interchange)","","","",""
"94","0+250","Box culvert","","13'964","13'500"
"95","0+467","Box culvert","","18'130","13'950"
"","Ramp D (Barawakumbuka Interchange)","","","",""
"96","0+560","Box culvert","","20'789","9'200"
"","Ramp A (Sooriyawewa Interchange)","","","",""
"97","0+045","Pipe culvert","","20'740","Ø
0'600"
"98","0+160","Siphon","","28'060","Ø
1'200"
"99","0+500","Box culvert","","22'378","2'600"
"","Ramp B (Sooriyawewa Interchange)","","","",""
"100","0+180","Box culvert","","18'457","2'600"
"","Ramp C (Sooriyawewa Interchange)","","","",""
"101","0+407","Box culvert","","19'520","1'200"
"102","0+050","Pipe culvert","","19'088","Ø
0'450"
"","Ramp D (Sooriyawewa Interchange)","","","",""
"103","0+360","Box culvert","","25'675","2'600"
"","Ramp F (Sooriyawewa Interchange)","","","",""
"104","0+400","Box culvert","","13'991","2'600"
"","Ramp A (Andarawewa Interchange)","","","",""
"105","A1+210","Box culvert","Drainage  culvert","22'54","2X2"
"106","1+572","Box culvert","Drainage  culvert","26'02","2x2"
"107","1+804","Box culvert","Drainage  culvert","24'79","2x2"
"108","2+168","Box culvert","Drainage  culvert","36'06","2x2"
"","Ramp B (Andarawewa Interchange)","","","",""
"109","B 0+165","Box culvert","Drainage  culvert","27'44","2X2"
"","Ramp C (Andarawewa Interchange)","","","",""
"110","C 0+165","Box culvert","Drainage  culvert","14'82","2X2"
"111","C 1+001","Box culvert","Drainage  culvert","15'82","2X2"
"112","1+569","Box culvert","Drainage  culvert","27'86","2X2"
"113","1+830","Box culvert","Drainage  culvert=","25'86","2X2"
"","Ramp D (Andarawewa Interchange)","","","",""
"114","zDZ 0+160","Box culvert","Drainage  culvert","15'82","2X2"
"115","zDZ 0+652","Box culvert","Drainage  culvert","19'02","2X2"
