"4A","I fldgi ( ^I& fPoh - YS","% ,xld m%cd;dka;s","l iudcjd§ ckrcfha w;s úfYI .eiÜ m;%h - 2019'11'04",""
"","PART  I  :  SEC.  (I)  -  GAZETTE      EXTRAORDINARY    OF    THE    DEMOCRATIC    SOCIALIST    REPUBLIC    OF    SRI    LANKA  -  04.11.2019","","",""
"Serial","Chainage  at","Type
  River/Stream/","Length of","Width/diameter"
"No.","km","Road Name","structure","of the structure"
"","","","( m)","(m)"
"19","183 + 466","Pipe culvert","45'140","Ø
1'200"
"20","183 + 856","Underpass","29'008","7'000"
"21","183 + 927","Box culvert","34'986","2'600"
"22","184 + 031","Pipe culvert","41'479                 1'200",""
"23","184 + 364","Box culvert","30'719","2'600"
"24","184 + 729","Overpass
Bedigantota  Road","76'060","9'900"
"","","Bridge","",""
"25","184 + 864","Box culvert","35'628","2'600"
"26","185 + 010","Box culvert","52'588","7'100"
"27","185 + 070","Underpass","28'245","9'300"
"28","185 + 181","Box culvert","40'116","2'600"
"29","185 + 396","Box culvert","34'746","2'600"
"30","185 + 653","Overpass
Bomandiya -","76'060","9'900"
"","","Bridge
 Cemetry Road","",""
"31","186 + 259","Underpass","38'400","9'400"
"32","186 + 476","Box culvert","69'697","2'700"
"33","186 + 616","Underpass
Safari Road","27'722","11'500"
"34","186 + 680","Box culvert","32'732","2'600"
"35","186 + 883","Pipe culvert","41'480","Ø
1'200"
"36","187 + 082","Box culvert","36'114","2'700"
"37","187 + 386","Underpass","26'927","7'000"
"38","187 + 555","Box culvert","39'484","13'500"
"39","188 + 111","Underpass","27'510","9'400"
"40","188 + 276","Box culvert","29'858","2'600"
"41","188 + 507","Overpass
550 Yaya -","70'060","9'900"
"","","Bridge
Madunagala Hot","",""
"","","water springs","",""
"42","188 + 656","Box culvert","27'582","2'600"
"43","188 + 753","Underpass","27'041","9'400"
"44","188 + 810","Box culvert","43'049","2'700"
"45","189 + 015","Box culvert","29'019","2'600"
"46","189 + 215","Box culvert","34'558","13'650"
"47","189 + 346","Underpass","30'552","7'000"
"48","189 + 499","Box culvert","37'875","13'650"
"49","189 + 596","Box culvert","35'215","7'050"
"50","189 + 874","Underpass","48'838","7'000"
"51","190 + 065","Box culvert","55'501","2'600"
"52","190 + 306","Pipe Culvert","37'834","Ø
1'200"
"53","190 + 762","Interchange        Sooriyawewa-Koggalla-","46'060","27'900"
"","","Bridge
Ambalantota Road","",""
"54","191 + 041","Box culvert","35'115","4'900"
"55","191 + 259","Overpass","76'060","9'900"
"","","Bridge","",""
"56","191 + 655","Overpass Bridge
Mirijjawila-","76'060","23'300"
"","","Sooriyawewa Road B562","",""
"57","191 + 892","Siphon","48'800","1'200"
"58","192 + 552","Box culvert","41'546","13'800"
"59","192+ 653","Underpass","33'227","7'000"
