"YS¾I  216","iudc  fiajd  fomd¾;fïka;=j","","",""
"","jevigyk  01  fufyhqï  jevigyk","","28,060,000","3,680,000"
"","jevigyk  02  ixj¾Ok  jevigyk","","417,100,000","42,800,000"
"YS¾I 331","ÈúkeÕ=u  ixj¾Ok  fomd¾;fïka;=j","","",""
"","jevigyk  01  fufyhqï  jevigyk","","415,300,000","14,100,000"
"","jevigyk  02  ixj¾Ok  jevigyk","","55,575,020,000","33,500,000"
"","wOHdmk  wud;HdxYh","","",""
"","mqkrdj¾;k","167,612,750,000","",""
"","uQ,Ok","18,363,280,000","",""
"","my;  mßÈ  úhoï  ieliS  we;  :—","","",""
"YS¾I  126","wOHdmk  wud;Hjrhd","","",""
"","jevigyk  01  fufyhqï  jevigyk","","12,065,665,000","643,200,000"
"","jevigyk  02  ixj¾Ok  jevigyk","","151,588,500,000","16,918,550,000"
"YS¾I  207","mqrdúoHd  fomd¾;fïka;=j","","",""
"","jevigyk  01  fufyhqï  jevigyk","","130,150,000","10,000,000"
"","jevigyk  02  ixj¾Ok  jevigyk","","730,500,000","152,500,000"
"YS¾I  209","cd;sl  f,aLkdrlaIl  fomd¾;fïka;=j","","",""
"","jevigyk  01  fufyhqï  jevigyk","","51,940,000","11,850,000"
"","jevigyk  02  ixj¾Ok  jevigyk","","60,715,000","208,400,000"
"YS¾I 212","úNd.  fomd¾;fïka;=j","","",""
"","jevigyk  02  ixj¾Ok  jevigyk","","2,926,400,000","334,250,000"
"YS¾I 213","wOHdmk  m%ldYk  fomd¾;fïka;=j","","",""
"","jevigyk  02  ixj¾Ok  jevigyk","","58,880,000","84,530,000"
